Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-6.074467,-99.643397,67.619175,-13.263790,3.947578,152.410459,-2.891184,19.263386,43.360933,40.699175,-23.329712,-3.915338,-46.863994,-22.291466,27.972650,46.217230,-10.232872,13.118416,22.189019,-13.675272,29.793804,-10.888898,22.135339,0.760812,6.834747,-4.095294,-3.324498,14.945326,-17.940677,-18.042973,3.934557,10.020840,-5.585663,-0.743157,-18.446621
1.000000,-5.506106,-99.776632,64.087653,-1.234756,-8.887444,177.845056,-47.961213,24.944527,3.387503,71.775876,-31.843961,-2.750808,-47.685536,-34.027237,1.089329,62.036409,-20.900222,13.285867,-1.590246,-0.044377,28.227314,-34.517225,27.563240,-10.717923,25.907539,-16.572470,-12.677422,28.041786,-34.538648,-22.624003,4.023999,25.131468,-0.679188,-9.051723,-34.727475
2.000000,-5.532146,-99.759996,64.073616,-1.276530,-10.036505,178.507666,-49.565061,24.237934,2.947286,71.657325,-31.426021,-2.601760,-48.674913,-34.539058,0.809189,62.028424,-20.767957,13.421621,-2.364959,0.189304,27.122241,-34.796679,27.416019,-10.692967,26.860431,-16.757210,-13.296508,27.530295,-34.974472,-23.102782,4.359285,25.653014,-0.019845,-9.747754,-34.175927
3.000000,-5.585752,-99.736321,64.095509,-1.388813,-10.427867,178.639638,-49.914309,24.066050,3.047244,71.492471,-31.330491,-2.607308,-49.080329,-34.744011,0.807626,62.068921,-20.917777,13.447722,-2.628589,0.075465,26.770938,-34.462174,27.501550,-10.588191,26.946309,-17.351126,-13.594019,27.473681,-34.931080,-23.021614,4.354851,25.564500,0.009593,-10.176834,-33.913085
4.000000,-5.608176,-99.699688,64.105201,-1.451488,-10.532479,178.624270,-49.945936,24.071830,3.137910,71.397900,-31.277622,-2.590252,-49.211318,-34.757713,0.912837,62.022195,-20.912041,13.453032,-2.784879,0.028305,26.774975,-34.118079,27.698060,-10.534582,26.993678,-17.364889,-13.771523,27.779698,-34.833039,-22.923407,4.465364,25.324989,-0.114171,-10.470910,-34.232488
5.000000,-5.625796,-99.666905,64.092922,-1.454860,-10.581080,178.558346,-49.976402,24.121327,3.088295,71.414566,-31.295995,-2.636349,-49.261882,-34.723848,0.826869,62.055226,-20.966166,13.511809,-2.839550,0.086916,26.785562,-33.728130,27.761514,-10.553525,27.027784,-17.357507,-14.041951,27.284342,-34.502970,-23.108446,4.764032,24.855465,-0.166228,-10.677452,-34.086465
6.000000,-5.639884,-99.642020,64.083475,-1.446730,-10.638890,178.514224,-50.056537,24.164156,3.032438,71.462077,-31.298765,-2.662393,-49.401245,-34.673264,0.857599,62.176400,-21.003033,13.608894,-2.937883,0.171123,26.835427,-33.179700,27.739509,-10.425077,26.709810,-17.554853,-14.017054,26.293211,-34.061771,-23.465675,5.048850,24.303411,0.257028,-10.794797,-33.303504
7.000000,-5.656650,-99.620616,64.064980,-1.444858,-10.714407,178.455336,-50.101292,24.226801,3.041393,71.452754,-31.352761,-2.698671,-49.479598,-34.573492,0.935916,62.135153,-21.079258,13.562824,-2.935823,0.191852,26.880534,-32.793654,27.812173,-10.639774,26.489193,-17.839160,-13.774630,25.525949,-33.405110,-24.981728,5.933948,23.720851,2.030522,-11.113286,-30.686476
8.000000,-5.684003,-99.587864,64.052880,-1.452819,-10.758428,178.283967,-50.065594,24.377468,3.073259,71.472595,-31.455835,-2.651867,-49.596333,-34.499176,0.896024,62.223604,-21.207442,13.402587,-2.961280,0.096944,26.975328,-32.424762,27.677369,-10.676620,26.358511,-18.140101,-13.713584,25.426571,-33.182623,-24.319614,5.694206,23.658641,1.521649,-11.218250,-31.148514
9.000000,-5.714911,-99.596107,64.026791,-1.535876,-10.813368,178.184274,-50.049324,24.393602,3.208539,71.527804,-31.589615,-2.485919,-49.674299,-34.549177,0.947068,62.163696,-21.221056,13.570099,-3.036327,-0.060386,27.083315,-32.057759,27.441926,-11.204253,26.082915,-18.755293,-13.844092,25.247116,-32.729980,-23.490182,5.596272,23.320581,1.055977,-11.300844,-31.100296
