Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.063200,-0.008400,78.590000,0.595712,4.452472,-5.385357,-8.743622,7.897994,17.221106,20.263569,-14.428510,-2.025062,-7.067721,-11.420882,-19.938015,17.673972,-15.747401,4.894492,-0.005271,0.093850,-0.956381,-5.361281,101.556311,11.934539,78.951751,-6.163593,-5.452553,24.421066,-6.848679,-94.260954,-11.420596,73.158804,4.093096,-5.886339,-22.751581
1.000000,0.102800,-0.009800,78.515300,0.800292,5.153851,-5.463618,-9.544388,8.169347,17.909744,20.781695,-15.033782,-2.245536,-7.624235,-11.983298,-20.643326,17.929912,-16.205767,5.389298,0.053801,-0.027215,-1.666505,-0.773321,99.360278,16.793679,75.580639,-5.431468,-3.563626,27.218245,-3.611238,-91.529435,-16.012108,68.029284,1.914195,-2.514540,-25.487340
2.000000,0.107000,-0.009200,78.483200,0.950550,5.664405,-5.499485,-10.106059,8.141959,18.033274,20.922070,-15.140352,-2.269658,-8.137949,-12.162805,-20.686297,18.000615,-16.279335,5.465444,0.088637,-0.121009,-2.196434,4.185285,97.556206,23.212354,72.419631,-3.547525,-1.808198,28.422316,-0.463637,-89.559434,-21.609619,63.709068,-1.050404,0.421296,-26.083216
3.000000,0.106200,-0.008400,78.468900,1.062605,6.045391,-5.520344,-10.514520,8.081627,18.079339,20.967963,-15.150952,-2.261808,-8.537186,-12.257343,-20.670770,18.018950,-16.282257,5.474440,0.114076,-0.189878,-2.586962,9.576474,95.243691,31.757847,68.456195,-0.039821,0.193946,28.846305,2.518722,-87.526866,-27.946131,59.525846,-4.745065,2.964083,-25.627084
4.000000,0.105900,-0.007500,78.461200,1.144600,6.331226,-5.525329,-10.820652,8.028399,18.100711,20.992314,-15.143446,-2.249547,-8.833520,-12.324437,-20.665614,18.024278,-16.273606,5.474956,0.133671,-0.240871,-2.873498,15.660140,91.603919,42.917518,62.479214,5.497072,2.806863,28.342503,5.307251,-85.198767,-34.584878,55.171367,-8.924505,5.207556,-24.478476
5.000000,0.105100,-0.007700,78.456700,1.207817,6.545261,-5.513766,-11.054533,7.981932,18.104149,21.008472,-15.129638,-2.235624,-9.050900,-12.378409,-20.676156,18.027200,-16.264152,5.472549,0.149256,-0.278859,-3.083258,22.123161,86.216283,55.705592,53.834255,12.343287,5.746881,26.112781,7.843735,-82.692821,-41.016960,50.670497,-13.171096,7.133325,-22.756107
6.000000,0.103300,-0.008000,78.453900,1.256008,6.707035,-5.491763,-11.234958,7.941023,18.096013,21.017524,-15.112048,-2.221415,-9.210354,-12.423558,-20.697585,18.023247,-16.252292,5.473695,0.160772,-0.307621,-3.236467,27.449319,80.357732,66.620152,44.307227,18.207453,8.165336,22.235575,10.059649,-80.267606,-46.743329,46.299631,-16.987225,8.672748,-20.655300
7.000000,0.100100,-0.008400,78.452000,1.293405,6.829975,-5.463876,-11.377395,7.905213,18.081173,21.025546,-15.095433,-2.206518,-9.332165,-12.462233,-20.722107,18.024450,-16.243067,5.472263,0.168450,-0.329279,-3.346933,30.639778,75.633752,73.627941,36.288167,21.870429,9.932281,18.364787,11.856559,-78.117925,-51.391392,42.389308,-20.083947,9.811788,-18.527335
8.000000,0.095900,-0.009000,78.450600,1.323726,6.927647,-5.435043,-11.493304,7.874102,18.064213,21.031333,-15.079734,-2.191793,-9.429109,-12.495866,-20.746916,18.026570,-16.235848,5.470200,0.172575,-0.345494,-3.423824,32.172783,72.404562,77.373768,30.493673,23.888272,11.341814,15.497764,13.187311,-76.351554,-54.856068,39.154790,-22.436168,10.627966,-16.668030
9.000000,0.090500,-0.009600,78.449500,1.348249,7.004780,-5.409052,-11.588186,7.847746,18.048457,21.037119,-15.065295,-2.177755,-9.507547,-12.524857,-20.768460,18.029206,-16.230634,5.467221,0.173606,-0.357583,-3.475791,32.801032,70.329252,79.180934,26.564558,25.001816,12.483318,13.663897,14.094991,-74.991237,-57.278935,36.648902,-24.163235,11.218284,-15.206300
10.000000,0.084200,-0.009900,78.448500,1.368592,7.065071,-5.386604,-11.665192,7.825171,18.035050,21.043078,-15.052117,-2.164635,-9.571375,-12.549609,-20.785877,18.032701,-16.226566,5.463554,0.172231,-0.366636,-3.509882,33.023798,69.017866,80.004389,23.965392,25.662264,13.374153,12.568173,14.676371,-73.986212,-58.905734,34.800941,-25.411366,11.670635,-14.133150
11.000000,0.077000,-0.010000,78.447800,1.384677,7.111634,-5.367502,-11.727816,7.806263,18.023591,21.049209,-15.040658,-2.152431,-9.623399,-12.570178,-20.799514,18.036941,-16.223243,5.459371,0.169424,-0.373511,-3.531253,33.100689,68.183009,80.356701,22.278891,26.122922,14.066400,11.933909,15.018141,-73.266863,-60.000427,33.470647,-26.277449,12.059845,-13.397300
12.000000,0.069200,-0.010000,78.447100,1.398162,7.146665,-5.352551,-11.778293,7.790851,18.015168,21.056142,-15.031089,-2.141888,-9.666428,-12.586737,-20.808395,18.042842,-16.222154,5.454214,0.165470,-0.378611,-3.544088,33.121029,67.647580,80.489627,21.203449,26.448477,14.600282,11.557246,15.211743,-72.758478,-60.761888,32.508823,-26.849261,12.380071,-12.933548
13.000000,0.060700,-0.009900,78.446400,1.409531,7.170734,-5.341567,-11.817484,7.779105,18.009209,21.064507,-15.023813,-2.132664,-9.701436,-12.599628,-20.812921,18.051436,-16.222211,5.449172,0.160829,-0.382564,-3.551880,33.104012,67.298763,80.528874,20.522374,26.641506,14.988118,11.331386,15.342205,-72.399004,-61.303046,31.808038,-27.228616,12.617275,-12.637787
14.000000,0.052100,-0.009900,78.445700,1.418571,7.186360,-5.334674,-11.847793,7.770855,18.005829,21.074648,-15.019286,-2.125158,-9.730084,-12.608853,-20.813838,18.062208,-16.223185,5.444703,0.156016,-0.385601,-3.556292,33.059550,67.066371,80.521254,20.084864,26.718569,15.214149,11.198918,15.454964,-72.147705,-61.688246,31.294382,-27.508105,12.802570,-12.434273
15.000000,0.043600,-0.009700,78.445000,1.424978,7.194025,-5.332096,-11.869451,7.766500,18.005199,21.086566,-15.017854,-2.119485,-9.752658,-12.614353,-20.810457,18.074870,-16.225019,5.440292,0.151089,-0.388122,-3.558698,33.006494,66.902964,80.475188,19.799932,26.736331,15.331778,11.104151,15.521369,-71.953071,-61.967907,30.912964,-27.625275,12.909599,-12.202798
16.000000,0.034900,-0.009800,78.444100,1.429306,7.191613,-5.335091,-11.880796,7.766386,18.007949,21.101233,-15.019974,-2.116105,-9.767269,-12.615729,-20.801233,18.088965,-16.227826,5.434677,0.145531,-0.390356,-3.561047,32.932812,66.786482,80.403511,19.606387,26.717710,15.426086,11.034136,15.584624,-71.812066,-62.158931,30.644304,-27.685263,12.982479,-11.977568
17.000000,0.026200,-0.010000,78.442800,1.430574,7.182046,-5.344107,-11.886468,7.772344,18.013965,21.120714,-15.026792,-2.115704,-9.775978,-12.613379,-20.787940,18.102888,-16.232639,5.428088,0.139343,-0.392591,-3.563396,32.855176,66.698533,80.307541,19.462918,26.664081,15.505097,10.968131,15.636247,-71.703949,-62.272434,30.463478,-27.711619,13.027456,-11.826250
18.000000,0.017400,-0.010400,78.441100,1.426438,7.166899,-5.360968,-11.888015,7.787413,18.023476,21.148789,-15.040314,-2.119027,-9.781822,-12.604097,-20.767944,18.117155,-16.238197,5.419894,0.132353,-0.395455,-3.565688,32.817819,66.632814,80.189626,19.364598,26.631938,15.570243,10.914330,15.703570,-71.635423,-62.303832,30.357424,-27.766050,13.060745,-11.717846
19.000000,0.008800,-0.011000,78.438700,1.417071,7.146895,-5.382484,-11.886640,7.811535,18.033388,21.190500,-15.063232,-2.125158,-9.785374,-12.588685,-20.743421,18.134916,-16.245932,5.409925,0.126051,-0.398836,-3.568095,32.784645,66.584972,80.086608,19.302891,26.610738,15.614704,10.882588,15.756798,-71.588785,-62.296612,30.305457,-27.844603,13.094091,-11.646055
20.000000,0.000500,-0.011900,78.436100,1.405713,7.125785,-5.409840,-11.882572,7.839380,18.047311,21.234561,-15.090047,-2.134382,-9.789270,-12.569777,-20.715404,18.159267,-16.256589,5.401388,0.120665,-0.401873,-3.570444,32.727292,66.550996,80.027422,19.256481,26.580486,15.628627,10.931290,15.791977,-71.547360,-62.276674,30.290216,-27.915707,13.097815,-11.570539
21.000000,-0.008400,-0.013700,78.434400,1.393353,7.108988,-5.436398,-11.876212,7.867799,18.061864,21.259771,-15.108439,-2.146873,-9.792364,-12.546744,-20.689449,18.173706,-16.263751,5.390673,0.115107,-0.406170,-3.572736,32.691654,66.537589,79.992471,19.231099,26.611082,15.656129,11.025140,15.824693,-71.503815,-62.256792,30.296003,-27.981483,13.069912,-11.501956
22.000000,-0.017500,-0.016200,78.434000,1.379297,7.096417,-5.462108,-11.863721,7.895931,18.077678,21.261490,-15.116059,-2.162916,-9.794714,-12.519300,-20.666358,18.177659,-16.265928,5.378756,0.109034,-0.413332,-3.575314,32.656016,66.540396,79.981700,19.207035,26.651877,15.686954,11.085702,15.845033,-71.456431,-62.252781,30.310842,-28.020043,13.022815,-11.447181
23.000000,-0.027000,-0.019200,78.434700,1.365488,7.086278,-5.486269,-11.846590,7.922345,18.094007,21.246765,-15.116231,-2.182110,-9.795229,-12.489964,-20.645904,18.172159,-16.263407,5.366437,0.102445,-0.422957,-3.578408,32.629373,66.545381,79.990695,19.170538,26.715131,15.690163,11.129075,15.845377,-71.407386,-62.281028,30.326312,-28.014370,12.987979,-11.436868
