Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.001400,-0.019000,79.535700,1.268101,0.095150,-1.758491,-1.533980,4.475603,16.232353,10.585624,-4.668689,-2.366488,3.441356,-9.274296,-27.053577,13.202036,-11.776002,4.105357,0.694539,0.010256,-0.024866,3.713970,91.607472,-2.634976,80.469688,3.788626,5.432614,9.260144,2.855564,-95.217278,2.031651,80.354695,-3.637709,4.695790,-10.826439
1.000000,-0.013500,-0.028900,79.536200,1.561342,-0.851977,-1.584894,-0.101757,4.209349,16.767438,9.394044,-4.104555,-2.501362,5.002896,-9.879053,-28.324054,12.480109,-11.757667,4.587444,0.563848,-0.279374,0.855770,5.073427,90.641579,-0.976034,76.103176,4.356599,9.625462,10.107606,4.189525,-94.480569,0.587740,76.410912,-3.959310,8.524867,-11.567158
2.000000,-0.026400,-0.040900,79.532700,1.786884,-1.610177,-1.434572,0.769826,3.936220,16.745322,9.104586,-3.933642,-2.513623,5.913497,-10.195268,-28.586125,12.336985,-11.730451,4.680148,0.435792,-0.508615,1.582166,6.447093,90.075955,1.272195,73.113253,5.348847,12.367982,10.165876,5.680762,-93.991664,-1.352066,73.850937,-4.517944,10.940457,-11.658946
3.000000,-0.034700,-0.053100,79.527100,1.957978,-2.184687,-1.313484,1.375328,3.724226,16.669863,9.029586,-3.884367,-2.513337,6.533953,-10.409956,-28.696992,12.324322,-11.739733,4.707593,0.337128,-0.679757,2.132148,7.809587,89.579430,3.930605,70.952343,6.731452,14.202535,9.960012,7.254104,-93.568763,-3.614390,72.092873,-5.353947,12.451347,-11.554954
4.000000,-0.040300,-0.065400,79.521700,2.088597,-2.620164,-1.214907,1.823152,3.564600,16.602312,8.999735,-3.860933,-2.514712,6.988137,-10.568378,-28.778238,12.341511,-11.758870,4.720714,0.263160,-0.806209,2.541240,9.143318,89.044001,6.855268,69.223844,8.457774,15.517760,9.622139,8.816617,-93.132170,-6.138441,70.768653,-6.389625,13.426922,-11.307150
5.000000,-0.045500,-0.078700,79.517300,2.188626,-2.952125,-1.130481,2.158618,3.445596,16.542151,8.983634,-3.843687,-2.518665,7.328073,-10.684861,-28.846190,12.368383,-11.778351,4.723922,0.207754,-0.899888,2.844621,10.447484,88.463022,9.951990,67.700693,10.506728,16.511784,9.172539,10.363775,-92.681195,-8.836270,69.673902,-7.657180,14.145640,-11.109480
6.000000,-0.051600,-0.092900,79.513700,2.267647,-3.204756,-1.057134,2.409631,3.354725,16.486402,8.972003,-3.827645,-2.523593,7.583154,-10.775732,-28.909731,12.399036,-11.797373,4.716875,0.166158,-0.967783,3.070194,11.705356,87.836149,13.190634,66.268929,12.835687,17.312321,8.642037,11.876899,-92.189883,-11.677968,68.671169,-9.135067,14.740371,-10.967730
7.000000,-0.059500,-0.108100,79.510800,2.329307,-3.396364,-0.994242,2.596587,3.286028,16.433805,8.960200,-3.810857,-2.529437,7.771084,-10.845117,-28.965194,12.433184,-11.816280,4.702952,0.134187,-1.016599,3.238816,12.870351,87.139547,16.611995,64.860369,15.346732,18.005600,8.102540,13.356563,-91.641677,-14.643312,67.678806,-10.789597,15.258153,-10.739922
8.000000,-0.069900,-0.124700,79.508400,2.378117,-3.541935,-0.942459,2.734040,3.234805,16.384301,8.950116,-3.794642,-2.536083,7.906588,-10.897772,-29.011718,12.469567,-11.835417,4.683300,0.108977,-1.050461,3.365783,13.989051,86.359866,20.115001,63.442528,18.032185,18.626342,7.476125,14.813251,-91.043681,-17.700672,66.658139,-12.626156,15.730327,-10.402163
9.000000,-0.082800,-0.142800,79.506300,2.416370,-3.651112,-0.899902,2.831443,3.198537,16.337949,8.942783,-3.779803,-2.543875,8.000725,-10.935816,-29.050679,12.506294,-11.855414,4.659579,0.088751,-1.072749,3.462842,15.035043,85.500257,23.670835,61.997127,20.823120,19.170709,6.789092,16.215279,-90.378878,-20.869472,65.586135,-14.609794,16.152654,-10.001379
