Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.028200,-0.009800,78.942500,1.510086,4.348709,-4.647762,-2.795404,-0.723531,3.119240,10.532740,-12.095139,0.650250,-4.721516,-2.285070,-0.373511,14.313001,-13.565062,3.039942,-1.088563,0.037414,-0.892783,8.582449,87.393883,-4.449017,85.899953,3.497793,15.803952,10.225520,2.317041,-94.699839,-2.602374,85.498653,2.927757,8.930464,-5.836836
1.000000,0.061600,-0.009100,78.924300,1.786559,4.596261,-4.385584,-2.628157,-1.059055,3.011638,9.785603,-11.970865,0.695284,-4.789068,-2.717252,-0.623092,14.050300,-13.860709,3.247296,-1.395267,-0.192055,-1.181955,10.344295,86.044395,-3.592904,82.160200,2.541870,19.536199,11.825104,5.326903,-94.400584,-4.184253,81.622593,4.355109,12.388493,-6.654847
2.000000,0.077000,-0.014400,78.921900,1.993163,4.755812,-4.178138,-2.715132,-1.315798,2.850694,9.664767,-11.903141,0.714593,-4.921937,-3.004190,-0.797271,14.038440,-13.907576,3.293762,-1.619293,-0.374313,-1.372062,12.092503,85.665441,-2.466411,79.598620,1.897980,21.694302,12.321801,8.230195,-94.215919,-5.858723,78.983263,5.299057,14.657578,-7.087717
3.000000,0.091300,-0.017700,78.922600,2.145446,4.877093,-4.011856,-2.823307,-1.510030,2.713356,9.652162,-11.872144,0.730808,-5.029022,-3.211772,-0.935583,14.047149,-13.924250,3.313415,-1.782243,-0.512740,-1.513239,13.711568,85.586659,-1.205446,77.813914,1.570305,22.969592,12.541187,10.807359,-94.107458,-7.765870,77.122182,5.960881,16.151451,-7.389952
4.000000,0.106400,-0.018000,78.923500,2.253023,4.971343,-3.878465,-2.906959,-1.653499,2.601687,9.645630,-11.853236,0.746106,-5.107002,-3.363205,-1.049315,14.053853,-13.934505,3.327911,-1.902105,-0.620742,-1.622158,15.140009,85.553199,0.106169,76.531004,1.508655,23.784567,12.688093,13.114259,-93.997565,-9.811157,75.723076,6.345107,17.150460,-7.601087
5.000000,0.121100,-0.016100,78.924100,2.331476,5.044122,-3.771825,-2.966489,-1.762246,2.513107,9.633712,-11.841090,0.758940,-5.164355,-3.478026,-1.141790,14.062160,-13.942355,3.340401,-1.991429,-0.704853,-1.706841,16.358747,85.498252,1.450500,75.564768,1.640435,24.331856,12.778907,15.239990,-93.859769,-11.887671,74.581687,6.417070,17.783808,-7.724273
6.000000,0.133900,-0.011400,78.924500,2.387614,5.098524,-3.685555,-3.009575,-1.845841,2.442920,9.622368,-11.831063,0.768852,-5.206124,-3.566605,-1.217249,14.072646,-13.950033,3.351803,-2.058981,-0.770628,-1.773247,17.408062,85.413626,2.783028,74.797749,1.951208,24.691387,12.809102,17.199849,-93.695559,-13.981373,73.604450,6.207769,18.163679,-7.820530
7.000000,0.144000,-0.004700,78.924600,2.429766,5.138633,-3.616626,-3.043323,-1.911903,2.388432,9.617097,-11.824588,0.777504,-5.238037,-3.637136,-1.277467,14.085537,-13.958856,3.362804,-2.111178,-0.821621,-1.825615,18.329206,85.298060,4.076308,74.169845,2.423210,24.911689,12.752379,18.994640,-93.502587,-16.094728,72.739742,5.761950,18.434344,-7.922918
8.000000,0.151000,0.004600,78.924200,2.462685,5.167415,-3.568049,-3.070309,-1.965704,2.350559,9.618586,-11.822870,0.789479,-5.266571,-3.694375,-1.319121,14.103127,-13.969570,3.373862,-2.151858,-0.860353,-1.866467,19.144124,85.157113,5.341342,73.652178,3.018628,25.033271,12.640881,20.586832,-93.270195,-18.276781,71.948717,5.172663,18.733543,-8.006168
9.000000,0.155000,0.016800,78.923600,2.487571,5.187470,-3.538547,-3.091680,-2.009019,2.328844,9.624774,-11.824932,0.803516,-5.295333,-3.740097,-1.342727,14.127420,-13.980399,3.385779,-2.182969,-0.889746,-1.897980,19.866223,84.995882,6.605344,73.223491,3.695635,25.086098,12.535056,22.021919,-93.001593,-20.488226,71.203012,4.439735,19.085052,-8.037509
