Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.024700,-0.016300,79.651800,0.633205,0.956240,-5.097371,-2.154952,5.788134,15.215811,11.092520,-5.033606,-2.865247,0.119748,-8.636766,-23.560941,13.338228,-10.166047,2.576018,0.571984,-0.194004,0.326701,7.240067,87.877287,-7.787700,78.157803,9.940302,9.558827,10.095631,4.127760,-88.592339,-0.411441,80.045355,-1.026568,0.127655,-15.407752
1.000000,-0.014700,-0.025100,79.660400,0.799607,0.051930,-5.212652,-0.799104,5.705514,15.985465,9.999145,-4.532096,-3.067158,1.436348,-9.097080,-24.372651,12.697661,-10.061253,2.891661,0.702446,-0.420379,1.177256,8.636422,85.576289,-5.297281,72.555021,11.615516,15.398355,11.266241,6.807885,-87.510250,-2.694621,75.698324,-1.029662,3.447315,-16.999944
2.000000,-0.045000,-0.027600,79.662600,0.926653,-0.656528,-5.287293,0.010657,5.537981,16.168239,9.739996,-4.378486,-3.083659,2.196491,-9.322482,-24.372479,12.572470,-9.999890,2.945977,0.781457,-0.595876,1.874431,10.335815,84.368207,-1.819256,68.618801,13.720792,18.906003,11.100255,9.135526,-86.851693,-5.400872,72.555536,-1.661348,5.763440,-17.514575
3.000000,-0.067600,-0.027900,79.661300,1.021573,-1.198667,-5.341472,0.582182,5.391819,16.255901,9.667059,-4.328983,-3.070194,2.722466,-9.476837,-24.299197,12.557974,-9.985337,2.968953,0.838982,-0.726625,2.401323,12.250697,83.388335,2.185777,65.675001,16.339324,21.048178,10.494123,11.167578,-86.312024,-8.385409,70.140863,-2.895098,7.411839,-17.597826
4.000000,-0.085800,-0.029400,79.659900,1.094549,-1.597150,-5.369632,0.985086,5.280780,16.313025,9.641046,-4.292027,-3.033410,3.095347,-9.592001,-24.244709,12.570579,-9.981211,2.974568,0.883787,-0.824314,2.794258,14.193941,82.332717,6.512639,63.265369,19.338185,22.417719,9.673017,12.985000,-85.724857,-11.554725,68.162497,-4.607784,8.668680,-17.482031
5.000000,-0.100800,-0.032600,79.656700,1.146934,-1.906710,-5.386128,1.290244,5.203144,16.348319,9.640874,-4.288933,-3.076554,3.379993,-9.676971,-24.209415,12.594586,-9.997254,3.020920,0.918451,-0.898054,3.083086,16.064247,81.143028,11.021645,61.110017,22.620431,23.355822,8.746487,14.613002,-85.031291,-14.882865,66.431248,-6.653530,9.673877,-17.191599
6.000000,-0.113800,-0.035300,79.655400,1.186559,-2.133143,-5.387347,1.498915,5.143729,16.367571,9.653709,-4.264067,-3.006310,3.582419,-9.749679,-24.206894,12.626500,-10.003098,2.977776,0.946584,-0.952829,3.298690,17.829816,79.827918,15.534948,59.108045,26.112208,24.018219,7.683708,16.057887,-84.212993,-18.357797,64.849884,-8.893623,10.497962,-16.778095
7.000000,-0.124700,-0.038400,79.653000,1.215580,-2.305066,-5.380908,1.658942,5.096059,16.363216,9.657891,-4.271458,-3.054610,3.740039,-9.801761,-24.201966,12.640308,-10.007166,2.990954,0.967439,-0.994712,3.456884,19.422410,78.424171,19.988721,57.188293,29.690673,24.426222,6.568388,17.336672,-83.272712,-21.865387,63.344380,-11.290477,11.229285,-16.247479
8.000000,-0.132900,-0.043800,79.651700,1.237163,-2.438072,-5.373666,1.785279,5.062540,16.359034,9.655714,-4.265155,-3.050313,3.866606,-9.835852,-24.197612,12.646038,-10.008026,2.980183,0.982107,-1.026454,3.572564,20.796936,76.972411,24.246027,55.345145,33.268852,24.656437,5.397434,18.535357,-82.274390,-25.252656,61.884713,-13.855838,11.858622,-15.492378
9.000000,-0.140200,-0.049900,79.651200,1.254010,-2.526326,-5.375197,1.869332,5.037388,16.357888,9.647062,-4.253123,-3.062345,3.951518,-9.852296,-24.196180,12.636069,-10.005161,2.923460,0.991618,-1.050747,3.660341,21.933340,75.510738,28.220750,53.591378,36.759884,24.672021,4.240747,19.583984,-81.232810,-28.537481,60.457934,-16.497288,12.367695,-14.711207
10.000000,-0.146500,-0.058200,79.650300,1.265978,-2.602168,-5.384737,1.942442,5.029022,16.374790,9.648724,-4.247451,-3.059480,4.016148,-9.862953,-24.182257,12.648330,-10.016849,2.988605,0.997061,-1.067993,3.723767,22.811627,74.098397,31.859146,51.999873,40.050724,24.530157,3.123651,20.446858,-80.144878,-31.712355,59.057625,-19.128081,12.762062,-13.944188
11.000000,-0.152400,-0.064600,79.649900,1.271912,-2.664085,-5.395118,1.997560,5.026559,16.379546,9.659725,-4.244987,-3.049625,4.070292,-9.871948,-24.177444,12.651366,-10.014099,2.964369,1.002275,-1.081687,3.770120,23.478951,72.778360,35.046912,50.597043,43.138222,24.270263,1.993893,21.125412,-79.053623,-34.674203,57.697251,-21.734237,13.066761,-13.153335
12.000000,-0.159500,-0.071600,79.649800,1.266084,-2.729346,-5.405617,2.053423,5.039851,16.387395,9.677028,-4.243039,-3.059767,4.125525,-9.864729,-24.170454,12.661966,-10.011693,2.926554,1.005197,-1.094579,3.802091,23.908039,71.545756,37.851826,49.359455,45.938610,23.912623,1.010468,21.618614,-77.990671,-37.380569,56.398413,-24.245167,13.220715,-12.351137
