Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.020000,0.004500,78.752100,-1.000676,4.407490,3.451569,-11.249625,9.552868,13.941667,20.539964,-13.022013,-3.196589,-8.161497,-9.199410,-20.080509,16.376566,-15.211571,3.853198,0.260868,-0.295188,-0.388122,-3.066642,94.587941,12.755817,76.340667,-6.216764,-4.678143,24.018333,1.177887,-82.647271,-10.422904,78.510115,7.678322,-4.193535,-24.869004
1.000000,0.024100,-0.011300,78.689400,-1.004743,4.987681,3.787469,-12.080471,9.762972,14.124613,21.138075,-13.523466,-3.457743,-8.556323,-9.766639,-21.146325,16.506398,-15.662833,4.265155,-0.046295,-0.338217,-0.944693,3.192521,91.280828,19.461829,70.578889,-4.903201,-1.743167,27.487364,7.900057,-78.829310,-15.237297,72.302633,8.131990,-2.372847,-29.185783
2.000000,-0.001800,-0.022800,78.659900,-1.011206,5.440825,4.109602,-12.678295,9.679205,13.886320,21.294549,-13.601903,-3.471437,-8.957508,-9.957892,-21.527686,16.546849,-15.726947,4.328238,-0.286823,-0.365834,-1.350347,9.080063,88.536762,27.863912,64.777176,-1.703518,1.355217,28.448959,13.184504,-76.770328,-20.538417,67.091639,7.159050,-0.243106,-30.566038
3.000000,-0.033600,-0.034300,78.646100,-1.019079,5.793820,4.370937,-13.126177,9.569025,13.655647,21.328182,-13.585746,-3.444622,-9.272061,-10.068817,-21.784142,16.531322,-15.725342,4.333108,-0.468336,-0.384684,-1.645535,14.459449,85.217617,37.648828,58.141064,3.305680,4.633567,27.794698,17.204261,-74.967230,-26.131115,62.537770,4.968575,1.891334,-30.750416
4.000000,-0.064400,-0.047300,78.638700,-1.024132,6.071074,4.587711,-13.479004,9.468987,13.458435,21.330932,-13.550108,-3.410646,-9.498895,-10.149775,-21.998142,16.473511,-15.711706,4.330759,-0.606189,-0.397060,-1.861712,19.016641,81.089284,47.493331,50.625176,9.143432,7.824312,25.702371,20.209138,-72.963826,-31.740200,58.412646,1.899928,3.866835,-30.265178
5.000000,-0.092500,-0.060500,78.634300,-1.028542,6.291913,4.771315,-13.765254,9.379033,13.287350,21.326062,-13.512465,-3.377987,-9.662016,-10.211139,-22.183379,16.393870,-15.690908,4.326691,-0.712989,-0.403019,-2.021510,22.279693,76.835474,55.608934,43.200216,14.418827,10.508275,22.679388,22.339109,-70.763554,-37.082573,54.615712,-1.706383,5.599517,-29.306906
6.000000,-0.117500,-0.073100,78.631600,-1.038145,6.470605,4.926784,-14.001771,9.303116,13.133453,21.320447,-13.478546,-3.349569,-9.788869,-10.253710,-22.341171,16.318697,-15.658364,4.319185,-0.798016,-0.404336,-2.137591,24.193372,73.246237,61.209081,36.930969,18.403920,12.578830,19.625466,23.693638,-68.494068,-41.883158,51.123821,-5.521938,7.062965,-28.043648
7.000000,-0.139500,-0.085700,78.629000,-1.050223,6.613299,5.057236,-14.198238,9.243585,12.994053,21.325145,-13.453966,-3.330432,-9.893434,-10.284191,-22.473181,16.263693,-15.628455,4.309617,-0.867687,-0.402961,-2.217805,25.146602,70.605131,64.652328,32.205900,21.154690,14.151714,17.117458,24.393449,-66.306629,-45.951559,47.991174,-9.239002,8.250993,-26.631021
8.000000,-0.158600,-0.097600,78.626000,-1.059412,6.721236,5.164071,-14.351332,9.206114,12.902666,21.341761,-13.439756,-3.330317,-9.985508,-10.312438,-22.577402,16.243926,-15.610522,4.300106,-0.926759,-0.397747,-2.271606,25.562512,68.807705,66.660259,28.876615,22.989932,15.352175,15.276201,24.593354,-64.340066,-49.223606,45.310820,-12.629193,9.173455,-25.190662
9.000000,-0.175500,-0.107200,78.622500,-1.062092,6.800621,5.236653,-14.468502,9.178784,12.841359,21.365081,-13.433798,-3.334614,-10.072942,-10.340227,-22.644553,16.257964,-15.603646,4.291225,-0.974143,-0.387491,-2.308447,25.716752,67.626209,67.834880,26.596414,24.207639,16.258651,13.991801,24.455042,-62.687885,-51.745194,43.138508,-15.580671,9.853442,-23.823757
10.000000,-0.189700,-0.113800,78.619500,-1.061858,6.863603,5.273944,-14.563269,9.152371,12.782287,21.383587,-13.429386,-3.322640,-10.154416,-10.360337,-22.676982,16.281570,-15.598776,4.283432,-1.006973,-0.373110,-2.334287,25.757490,66.849564,68.559156,25.026625,25.026453,16.909990,13.111452,24.107085,-61.365441,-53.638819,41.453382,-18.059286,10.327564,-22.625187
11.000000,-0.198600,-0.117000,78.618300,-1.064764,6.919819,5.286174,-14.631795,9.136958,12.746764,21.383243,-13.422911,-3.314675,-10.222942,-10.366525,-22.688155,16.288961,-15.585426,4.277474,-1.026970,-0.356437,-2.353023,25.757604,66.332413,69.039466,23.920644,25.589613,17.351626,12.515232,23.640869,-60.336180,-55.051618,40.181874,-20.071055,10.645556,-21.644913
12.000000,-0.202400,-0.116900,78.618900,-1.069645,6.966136,5.287377,-14.672361,9.129968,12.734503,21.364622,-13.412999,-3.314675,-10.271357,-10.364520,-22.690160,16.277960,-15.563138,4.274953,-1.035965,-0.338675,-2.367462,25.742192,65.988351,69.363130,23.129905,25.979854,17.651569,12.108947,23.148641,-59.562974,-56.105861,39.243312,-21.680150,10.850675,-20.871936
13.000000,-0.202400,-0.113300,78.620300,-1.071994,7.003610,5.287748,-14.693102,9.121660,12.735362,21.335172,-13.400910,-3.317999,-10.306021,-10.366239,-22.689415,16.264725,-15.539532,4.276786,-1.035793,-0.320971,-2.378405,25.713887,65.766674,69.574953,22.566630,26.236883,17.863334,11.836678,22.708724,-59.010929,-56.900782,38.565560,-22.966326,10.966298,-20.245578
14.000000,-0.199300,-0.106900,78.621800,-1.068751,7.037409,5.291520,-14.705363,9.105674,12.740175,21.300967,-13.386758,-3.317884,-10.337247,-10.381079,-22.692509,16.263751,-15.522114,4.283776,-1.031840,-0.304928,-2.384364,25.692803,65.637243,69.710457,22.180686,26.401437,18.018205,11.659748,22.365809,-58.637819,-57.520322,38.082614,-23.998051,11.014598,-19.741547
15.000000,-0.191900,-0.098000,78.622400,-1.058984,7.072351,5.307776,-14.708915,9.087626,12.769396,21.263782,-13.373179,-3.334099,-10.372828,-10.417633,-22.709068,16.288445,-15.518390,4.297585,-1.029662,-0.290891,-2.382989,25.699850,65.585390,69.791932,21.941190,26.526915,18.151131,11.527682,22.123218,-58.396833,-58.021201,37.735172,-24.811995,11.011160,-19.349988
16.000000,-0.180900,-0.086800,78.622000,-1.046933,7.099494,5.337347,-14.703358,9.071870,12.815920,21.231753,-13.363782,-3.360283,-10.407263,-10.467824,-22.731757,16.342017,-15.531167,4.315805,-1.032470,-0.279432,-2.377316,25.712913,65.597480,69.819205,21.812618,26.631365,18.292193,11.390859,21.956774,-58.247634,-58.430007,37.480779,-25.441217,10.962459,-19.044086
17.000000,-0.169700,-0.072300,78.619800,-1.034006,7.110917,5.371966,-14.707655,9.032680,12.799533,21.219091,-13.361261,-3.344527,-10.432817,-10.525235,-22.752842,16.418793,-15.558841,4.337806,-1.035679,-0.271467,-2.373248,25.687703,65.654031,69.797375,21.744550,26.701094,18.435032,11.255183,21.828374,-58.155445,-58.766505,37.296115,-25.922616,10.885797,-18.794104
18.000000,-0.153700,-0.053300,78.616300,-1.016394,7.115768,5.408276,-14.704675,8.980426,12.774724,21.212330,-13.369798,-3.319889,-10.455792,-10.595193,-22.769400,16.517170,-15.599865,4.365365,-1.041064,-0.265394,-2.373077,25.618318,65.718889,69.733834,21.694589,26.734554,18.539998,11.158582,21.705074,-58.096316,-59.040722,37.167257,-26.293663,10.817672,-18.596262
19.000000,-0.133000,-0.030400,78.611000,-0.986651,7.107463,5.435283,-14.679351,8.913848,12.755473,21.207574,-13.389508,-3.289064,-10.479627,-10.683428,-22.768254,16.651643,-15.660369,4.398998,-1.046507,-0.260925,-2.374108,25.537130,65.750230,69.642161,21.644856,26.756613,18.584574,11.106214,21.575413,-58.068814,-59.242346,37.079938,-26.579970,10.774070,-18.450788
20.000000,-0.108400,-0.005300,78.603700,-0.945327,7.080833,5.447461,-14.624633,8.849562,12.772031,21.213590,-13.425146,-3.274969,-10.507301,-10.785816,-22.742987,16.831094,-15.743963,4.435324,-1.053211,-0.259607,-2.373019,25.467401,65.732010,69.548253,21.592659,26.788699,18.587267,11.077108,21.452514,-58.072939,-59.357969,37.020980,-26.796720,10.735224,-18.339119
