Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.031300,-0.005700,79.891400,0.169659,0.935926,6.043577,-2.244333,5.913841,20.037194,10.896339,-5.004557,-0.920170,-1.738469,-6.738442,-18.659688,12.979442,-9.815225,1.563831,0.188102,-0.152521,0.444329,-3.042005,81.175400,-12.935554,71.006029,18.843321,13.360917,11.928179,1.548075,-80.958478,-1.335622,78.366131,0.151261,2.281403,-12.181197
1.000000,0.007500,-0.019900,79.909500,0.425457,0.104934,6.218037,-0.913237,5.813058,20.695064,9.801303,-4.462539,-1.001186,-0.452522,-7.115907,-19.529725,12.367580,-9.658751,1.778805,0.038102,-0.313465,1.268185,-5.952688,77.265651,-12.319452,65.485925,23.931416,21.583893,11.274148,3.688244,-78.062692,-3.893993,73.072860,-0.923150,6.474767,-15.038251
2.000000,-0.007900,-0.027400,79.914700,0.621786,-0.536440,6.359520,-0.146276,5.655838,20.674036,9.545821,-4.316034,-1.004911,0.318450,-7.300857,-19.732896,12.239353,-9.613258,1.818167,-0.070015,-0.442553,1.943931,-6.470183,75.384802,-10.220650,62.115329,27.694373,25.575862,9.872521,5.418748,-76.633793,-7.111380,69.102377,-2.768532,9.586386,-15.679334
3.000000,-0.016600,-0.032700,79.913500,0.768726,-1.009745,6.472071,0.361135,5.534543,20.587118,9.499125,-4.291454,-1.000442,0.842764,-7.428971,-19.836200,12.225831,-9.614747,1.830199,-0.146162,-0.539726,2.458390,-5.860843,74.308386,-7.359471,59.974816,30.853090,27.099872,8.629661,6.926200,-75.597885,-10.755163,65.966235,-5.267889,11.869222,-15.520052
4.000000,-0.020500,-0.036200,79.910700,0.876065,-1.357512,6.561901,0.723073,5.445162,20.507878,9.492937,-4.292313,-0.997978,1.221832,-7.522993,-19.915555,12.232592,-9.623399,1.844810,-0.198702,-0.612950,2.843647,-4.873579,73.480462,-4.188207,58.541848,33.796832,27.511886,7.598337,8.279183,-74.544559,-14.633227,63.308284,-8.231627,13.577381,-15.030574
5.000000,-0.021100,-0.037800,79.907900,0.955406,-1.611641,6.633148,0.985602,5.376407,20.444796,9.495458,-4.298501,-0.997405,1.500748,-7.595873,-19.981387,12.241301,-9.632566,1.859936,-0.235142,-0.667840,3.131272,-3.829936,72.689322,-0.958444,57.416788,36.665403,27.595252,6.696330,9.475805,-73.378705,-18.570995,60.928045,-11.507628,14.871463,-14.287218
6.000000,-0.019400,-0.038000,79.905500,1.014375,-1.796033,6.692625,1.175595,5.322721,20.392485,9.499984,-4.305663,-0.998322,1.705925,-7.653284,-20.037308,12.250754,-9.642880,1.870822,-0.259493,-0.709436,3.345615,-2.844907,71.875607,2.196033,56.389933,39.482063,27.593533,5.854368,10.471835,-72.113098,-22.463498,58.740034,-14.925493,15.849903,-13.333186
7.000000,-0.015900,-0.037000,79.903400,1.057355,-1.927455,6.740694,1.311214,5.281410,20.349857,9.505083,-4.313226,-0.996545,1.854492,-7.697974,-20.083374,12.261411,-9.653938,1.879817,-0.276853,-0.741923,3.505298,-1.967365,71.027286,5.240387,55.380210,42.198055,27.559213,5.074859,11.243781,-70.782117,-26.203423,56.719269,-18.350520,16.584378,-12.258948
8.000000,-0.010800,-0.035000,79.901700,1.089089,-2.018586,6.781931,1.405867,5.249325,20.315422,9.510469,-4.320961,-0.993050,1.961120,-7.733612,-20.123767,12.271610,-9.664652,1.887667,-0.289344,-0.767649,3.624302,-1.191867,70.161948,8.108957,54.387274,44.801403,27.496646,4.336030,11.807170,-69.443974,-29.655551,54.875548,-21.721002,17.128058,-11.167692
9.000000,-0.004700,-0.032100,79.900400,1.112118,-2.080252,6.822740,1.468892,5.222224,20.283279,9.516256,-4.327722,-0.989154,2.038985,-7.762146,-20.160036,12.278027,-9.673877,1.894714,-0.298053,-0.788390,3.712881,-0.509818,69.306293,10.725655,53.435362,47.296635,27.388700,3.607858,12.161831,-68.140725,-32.753934,53.226862,-24.936957,17.488849,-10.098897
