Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,40.956140,0.825716,76.120603,-2.121128,8.654049,0.829607,-2.639425,7.872369,10.043476,-3.256732,-9.711528,1.378952,-4.518203,-7.108724,-10.290630,1.801034,-7.468646,6.754056,-2.763491,1.188088,-17.361518,3.783723,16.898895,-5.105318,76.954867,-2.424933,-4.894394,-5.091978,1.197273,-19.046691,6.388669,75.859517,7.379898,-1.633926,3.686435
1.000000,40.904024,0.839788,76.161307,-1.978289,9.107866,0.786533,-3.165317,7.681533,10.069688,-3.376719,-9.411138,1.134247,-5.238445,-7.316742,-10.220389,2.078453,-7.336655,6.995559,-2.814846,1.317555,-16.424100,2.763265,16.794351,-4.222659,77.174956,-1.725274,-5.338339,-5.022291,0.008705,-19.089255,5.670180,76.032102,6.822760,-2.074678,3.263376
2.000000,40.845081,0.850049,76.213372,-1.938123,9.523540,0.748474,-3.694054,7.622925,10.175318,-3.382532,-9.205335,0.575525,-5.794838,-7.349862,-10.200492,2.106472,-7.132155,7.344368,-2.829611,1.632144,-14.239870,0.688388,16.769429,-2.711463,77.022418,-0.664266,-5.386589,-5.232617,-2.287782,-19.209712,4.397045,76.123216,6.038432,-2.279207,2.726268
3.000000,40.872052,0.796047,76.216966,-1.989274,9.803161,0.920999,-4.064103,7.689277,10.055274,-3.377096,-9.061334,0.304140,-6.349048,-7.311691,-10.267842,2.758514,-7.720331,7.164150,-2.943544,1.710289,-13.804652,0.016249,16.861995,-2.401788,76.695976,-0.597645,-4.909072,-5.314527,-3.127187,-19.160617,4.573536,76.676312,6.590511,-2.328120,2.873295
4.000000,40.867466,0.793963,76.211745,-2.006994,9.820540,0.932062,-4.095753,7.710195,10.077997,-3.370415,-9.098076,0.314744,-6.524741,-7.325671,-10.285706,3.106242,-7.966454,7.074916,-2.996151,1.784570,-13.618199,-0.248547,16.848758,-2.356493,76.781032,-0.723186,-4.782986,-5.176983,-3.414714,-19.194893,4.941169,76.790826,6.766450,-2.343439,2.837288
5.000000,40.867344,0.797097,76.210946,-2.008319,9.810235,0.971157,-4.092260,7.698894,10.045746,-3.371264,-9.090207,0.323884,-6.580186,-7.339031,-10.262982,3.254561,-8.000759,7.065797,-3.061142,1.861806,-13.628814,-0.335295,16.808539,-2.263179,77.041774,-0.694466,-4.844511,-5.150133,-3.435788,-19.335301,4.428871,76.699480,6.216874,-2.312758,2.957426
6.000000,40.860862,0.794257,76.220608,-2.001491,9.853338,1.015910,-4.168320,7.678874,10.009215,-3.369611,-9.026877,0.258088,-6.645715,-7.369289,-10.327183,3.313037,-8.009212,7.099077,-3.016588,1.808007,-13.720219,-0.203730,16.897702,-2.406800,76.810928,-0.594281,-4.844369,-5.255428,-3.270807,-19.337140,4.119376,76.636956,6.055356,-2.334556,3.034920
7.000000,40.857363,0.794150,76.225120,-1.991607,9.878934,1.019039,-4.201210,7.665882,10.006562,-3.370634,-9.000349,0.234986,-6.710648,-7.392309,-10.339732,3.383739,-8.037607,7.143704,-3.023347,1.776394,-13.793317,-0.022706,16.963987,-2.547895,76.549140,-0.558218,-4.822671,-5.492948,-3.201805,-19.331886,3.970922,76.661087,6.024518,-2.315281,3.130803
8.000000,40.855569,0.798808,76.230013,-1.987623,9.886717,1.022134,-4.214126,7.655864,9.999742,-3.371735,-8.994388,0.233148,-6.734513,-7.403426,-10.332870,3.406107,-8.016111,7.148718,-3.061773,1.783942,-13.796642,0.047429,16.977885,-2.566378,76.414305,-0.592969,-4.775631,-5.589171,-3.213188,-19.351833,3.994614,76.661709,6.011401,-2.304278,3.152491
9.000000,40.846270,0.806445,76.227909,-1.982267,9.904684,1.027391,-4.245375,7.635924,9.992296,-3.370777,-8.976862,0.241372,-6.779955,-7.419709,-10.321983,3.427119,-7.943176,7.141037,-3.101662,1.830745,-13.793525,0.068504,16.946492,-2.563519,76.362184,-0.689277,-4.713667,-5.736710,-3.205903,-19.411232,4.062741,76.606056,5.965901,-2.290422,3.178474
