Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.060600,-0.012800,77.986800,0.562031,2.663858,-8.155465,-10.931519,10.306021,18.280906,25.590587,-15.944957,-2.377488,-11.501612,-12.034864,-18.388336,23.856587,-17.201110,5.380417,-0.315528,-0.182201,0.122441,-9.816314,97.995034,7.697803,67.146127,-0.548321,0.613179,21.212788,-8.334187,-95.194646,-4.806772,64.017319,-5.527553,-2.755354,-17.542650
1.000000,0.056500,-0.013400,77.850500,0.792283,2.990771,-8.424995,-11.639638,10.779857,19.120576,26.794715,-16.915318,-2.612286,-12.185093,-12.657726,-18.670746,24.910773,-18.051322,5.815464,-0.141463,-0.380730,-0.170283,-9.988144,96.048582,8.845208,60.845425,1.444140,6.555783,23.081146,-9.522387,-92.207358,-7.002461,57.658863,-9.993702,3.444909,-18.111482
2.000000,0.024800,-0.004300,77.813200,0.934205,3.317038,-8.673973,-12.016014,10.866087,19.428197,26.999949,-17.080789,-2.638929,-12.589258,-12.718288,-18.486770,24.920570,-18.096700,5.863077,-0.018220,-0.530330,-0.415509,-9.654282,94.977953,10.562076,57.221524,3.355126,10.327450,23.405727,-9.989405,-90.034703,-9.726073,53.665977,-13.891362,7.384853,-17.274506
3.000000,-0.010600,0.004600,77.821000,1.030722,3.590828,-8.872299,-12.228810,10.880067,19.650562,26.894295,-17.035468,-2.632283,-12.830530,-12.662138,-18.326342,24.648702,-17.944293,5.852191,0.074141,-0.633061,-0.610716,-9.039956,94.194090,12.709636,54.960805,5.167277,12.476385,23.302709,-9.900138,-88.285520,-12.749514,51.039768,-17.220418,9.590225,-16.242838
4.000000,-0.043900,0.010200,77.846300,1.096961,3.817823,-9.031848,-12.348616,10.881156,19.837002,26.669352,-16.921965,-2.624892,-12.980015,-12.576309,-18.216334,24.307620,-17.751436,5.832940,0.140718,-0.702446,-0.764154,-8.205959,93.547564,15.082426,53.349991,6.782502,13.652266,23.004599,-9.068318,-86.542066,-15.849388,49.692630,-19.807552,10.140608,-15.942379
5.000000,-0.074200,0.012200,77.877700,1.141840,4.007242,-9.152644,-12.412615,10.876458,19.987174,26.391295,-16.780673,-2.620709,-13.071001,-12.484578,-18.148725,23.960006,-17.558292,5.813459,0.186727,-0.749486,-0.886595,-7.193886,92.810282,17.532566,52.040439,8.362204,14.317814,22.709641,-8.163159,-85.269814,-18.841431,48.471141,-22.061683,10.323496,-15.329887
6.000000,-0.101600,0.010800,77.910500,1.174534,4.165973,-9.240104,-12.441893,10.864426,20.105146,26.091982,-16.628668,-2.618532,-13.124171,-12.399036,-18.113316,23.630842,-17.378841,5.795984,0.214573,-0.780311,-0.987779,-6.049460,92.049222,19.977721,50.870230,9.926723,14.678491,22.370851,-7.244822,-84.170193,-21.650815,47.336398,-24.038272,10.416545,-14.680038
7.000000,-0.125500,0.006600,77.943300,1.202893,4.302084,-9.304321,-12.448539,10.842940,20.199799,25.785564,-16.473683,-2.617214,-13.150069,-12.324666,-18.100596,23.317778,-17.213428,5.782405,0.224428,-0.795781,-1.075786,-4.842926,91.264499,22.394571,49.781610,11.412746,14.866135,21.989433,-6.357826,-83.170725,-24.238922,46.291323,-25.768490,10.511312,-14.066057
8.000000,-0.145300,0.000700,77.977400,1.226107,4.422549,-9.345530,-12.433929,10.811542,20.273940,25.462073,-16.311421,-2.616183,-13.143423,-12.258088,-18.111310,22.995489,-17.049333,5.772091,0.218813,-0.797500,-1.157260,-3.636047,90.463218,24.739000,48.729488,12.788017,14.984852,21.553068,-5.547034,-82.251128,-26.575788,45.354995,-27.264942,10.630315,-13.437808
9.000000,-0.160200,-0.007000,78.014800,1.243555,4.534351,-9.362059,-12.393593,10.767596,20.329860,25.099276,-16.130825,-2.615209,-13.097070,-12.191969,-18.153079,22.634927,-16.870456,5.769800,0.202311,-0.788447,-1.237474,-2.471282,89.654488,26.950789,47.675360,14.035231,15.105402,21.024400,-4.865386,-81.408536,-28.643134,44.549990,-28.467351,10.741813,-12.767161
10.000000,-0.169800,-0.017700,78.055100,1.258409,4.636246,-9.362617,-12.327703,10.713394,20.373921,24.704852,-15.935045,-2.616183,-13.011069,-12.122469,-18.218167,22.232367,-16.674791,5.777133,0.173549,-0.769712,-1.324048,-1.367478,88.865525,28.982211,46.611721,15.176277,15.252194,20.474131,-4.328066,-80.667931,-30.434200,43.870175,-29.465501,10.821454,-12.131064
11.000000,-0.174300,-0.031900,78.094000,1.273454,4.731397,-9.356219,-12.253046,10.657703,20.409330,24.311573,-15.738062,-2.622943,-12.913323,-12.056293,-18.287724,21.830036,-16.481589,5.784467,0.132067,-0.740834,-1.419274,-0.317820,88.142853,30.794820,45.548770,16.274007,15.430384,19.936926,-3.912614,-80.024671,-31.961763,43.270231,-30.335250,10.834288,-11.575696
12.000000,-0.173300,-0.051000,78.123500,1.307944,4.817677,-9.340192,-12.190938,10.587859,20.433623,23.965621,-15.563367,-2.633028,-12.874992,-12.035494,-18.341468,21.578450,-16.363789,5.802974,0.081818,-0.703936,-1.514499,0.628306,87.449116,32.439724,44.477052,17.284762,15.613329,19.477185,-3.566548,-79.469246,-33.324772,42.720020,-31.034832,10.843341,-11.125981
13.000000,-0.165300,-0.075900,78.140600,1.355504,4.891289,-9.310451,-12.146763,10.513088,20.439754,23.692836,-15.426659,-2.649185,-12.906963,-12.062079,-18.379741,21.520237,-16.347517,5.835117,0.028419,-0.669788,-1.598667,1.483216,86.793595,33.945228,43.379838,18.189004,15.739093,19.124243,-3.224034,-78.974841,-34.611578,42.189518,-31.585101,10.785759,-10.837210
14.000000,-0.150600,-0.108800,78.146700,1.409444,4.947468,-9.270659,-12.116969,10.443932,20.427320,23.497973,-15.327366,-2.674452,-12.979270,-12.114677,-18.404321,21.601368,-16.415413,5.841648,-0.025382,-0.643718,-1.666963,2.243875,86.190958,35.376534,42.323304,18.987993,15.776909,18.883600,-2.819525,-78.571020,-35.775256,41.752867,-32.060484,10.739521,-10.614616
15.000000,-0.129700,-0.150900,78.143300,1.464004,4.976739,-9.214628,-12.104879,10.388470,20.388703,23.404237,-15.274310,-2.710033,-13.057823,-12.181656,-18.426094,21.773198,-16.540833,5.830075,-0.077177,-0.627503,-1.724488,2.896588,85.664582,36.731178,41.353687,19.692674,15.829105,18.688508,-2.375082,-78.249476,-36.846515,41.423645,-32.451814,10.712191,-10.416315
16.000000,-0.101800,-0.202300,78.132900,1.514279,4.964757,-9.145551,-12.092503,10.348305,20.325850,23.408076,-15.269268,-2.755239,-13.106811,-12.256599,-18.452163,21.999402,-16.708423,5.807615,-0.131666,-0.616961,-1.784019,3.433278,85.220597,37.960402,40.463368,20.284138,15.925305,18.528366,-1.915799,-78.015767,-37.854634,41.189649,-32.809225,10.743646,-10.326017
17.000000,-0.064800,-0.263000,78.121500,1.555624,4.930255,-9.058086,-12.067981,10.318397,20.241682,23.447839,-15.285368,-2.808639,-13.094091,-12.321400,-18.502583,22.184009,-16.871315,5.778107,-0.191884,-0.606934,-1.847560,3.893707,84.885645,38.964682,39.692625,20.762100,16.050267,18.336426,-1.508942,-77.817867,-38.842184,41.020799,-33.027636,10.783524,-10.240876
18.000000,-0.020300,-0.334400,78.110600,1.586536,4.876927,-8.951757,-12.025410,10.299948,20.137289,23.500380,-15.310177,-2.872180,-13.029232,-12.372565,-18.579589,22.333780,-17.027733,5.740292,-0.256399,-0.593813,-1.913106,4.274151,84.659785,39.750093,39.067528,21.103697,16.173796,18.111654,-1.170438,-77.656179,-39.804123,40.874637,-33.050612,10.820480,-10.039424
19.000000,0.031100,-0.416400,78.099400,1.604006,4.807903,-8.834667,-11.961296,10.297770,20.017656,23.558879,-15.344383,-2.946951,-12.937559,-12.408948,-18.671319,22.487791,-17.192573,5.694799,-0.317476,-0.579432,-1.979684,4.594606,84.538204,40.362929,38.592145,21.334141,16.306264,17.857891,-0.830961,-77.575850,-40.679430,40.737586,-33.018985,10.825235,-9.886501
20.000000,0.088200,-0.509900,78.087400,1.614784,4.722748,-8.729443,-11.862575,10.310777,19.902663,23.604830,-15.382599,-3.033812,-12.829728,-12.428772,-18.757206,22.654006,-17.370247,5.641915,-0.375345,-0.564822,-2.047980,4.868766,84.458047,40.908728,38.226713,21.479901,16.439763,17.655007,-0.459971,-77.596133,-41.438600,40.607983,-33.067686,10.796931,-9.879454
21.000000,0.146500,-0.615100,78.072200,1.613012,4.620098,-8.630063,-11.749646,10.349509,19.785780,23.666767,-15.431931,-3.132074,-12.717199,-12.429861,-18.838107,22.853797,-17.567860,5.569665,-0.433099,-0.555884,-2.117480,5.062770,84.351362,41.491140,37.887350,21.538228,16.565298,17.568834,-0.149313,-77.598539,-42.166944,40.455118,-33.041617,10.740323,-10.039080
22.000000,0.202800,-0.733700,78.048900,1.612807,4.515427,-8.517515,-11.672296,10.406231,19.649874,23.796771,-15.508707,-3.239102,-12.645522,-12.437825,-18.916775,23.148870,-17.812570,5.476674,-0.489134,-0.553076,-2.177240,5.293328,84.250751,42.046680,37.535783,21.652648,16.625746,17.603498,0.106513,-77.570579,-42.905085,40.260484,-32.877407,10.681423,-10.312782
23.000000,0.257200,-0.867800,78.014800,1.613930,4.415556,-8.380744,-11.653274,10.486216,19.481482,24.024922,-15.623700,-3.358507,-12.623521,-12.456847,-19.004609,23.556128,-18.119045,5.371938,-0.542018,-0.560066,-2.217461,5.555972,84.156557,42.572426,37.166225,21.831583,16.644882,17.709094,0.423072,-77.541759,-43.606958,40.038749,-32.687471,10.628539,-10.660166
24.000000,0.308800,-1.016600,77.971600,1.601297,4.308429,-8.222647,-11.688683,10.604246,19.273899,24.371677,-15.784357,-3.490287,-12.611775,-12.466129,-19.110377,24.022631,-18.462018,5.260555,-0.592668,-0.578057,-2.239119,5.816266,84.058065,43.063221,36.770139,21.996881,16.621506,17.774125,0.808501,-77.489448,-44.280699,39.781720,-32.484644,10.545747,-11.081176
25.000000,0.357100,-1.179800,77.926100,1.572161,4.182578,-8.053454,-11.732457,10.754532,19.044258,24.769080,-15.956015,-3.633526,-12.559751,-12.447394,-19.238376,24.459797,-18.799032,5.143328,-0.642286,-0.601778,-2.248115,6.075587,83.920613,43.500445,36.339791,22.131125,16.575039,17.764499,1.250939,-77.407458,-44.915193,39.509565,-32.294938,10.453214,-11.553751
26.000000,0.399600,-1.354900,77.882500,1.528660,4.037502,-7.888364,-11.767522,10.929972,18.807053,25.180292,-16.112834,-3.785360,-12.463035,-12.394510,-19.376573,24.838408,-19.108544,5.018938,-0.689898,-0.625498,-2.250865,6.346825,83.725864,43.862669,35.891394,22.267145,16.508862,17.737742,1.686043,-77.269317,-45.481046,39.243656,-32.053551,10.382797,-11.993153
27.000000,0.434300,-1.542700,77.842500,1.481083,3.889091,-7.742090,-11.807056,11.127814,18.574375,25.599353,-16.232811,-3.948138,-12.350392,-12.308107,-19.506520,25.165739,-19.388892,4.880569,-0.735678,-0.646812,-2.243645,6.660119,83.515990,44.141757,35.475599,22.425912,16.445436,17.633979,2.094447,-77.111009,-45.915004,39.006566,-31.782255,10.397465,-12.248692
