Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.01783553697168827,1.9319570064544678,78.62942504882812,2.1675785392363185,6.359387547997694,-107.91956212955695,7.78383,-4.250161,23.386148,6.5373883,-10.04238,-3.681938,-12.668087,-18.34477,-0.14215565,52.703022,-3.9425898,10.1409,-1.476699,-3.4464042,4.2797403,3.1905253,21.462088,-35.83204,53.511738,2.5965936,3.2177846,3.7827225,-1.0759056,-22.579924,52.938652,53.57684,10.444689,2.3546987,-11.667878
1,0.06842286884784698,1.7351876497268677,78.53133392333984,2.2549254315643843,6.290504533196277,-107.96229101752746,8.037956,-4.4628315,23.344608,6.536073,-10.293131,-3.7290099,-14.619846,-18.654364,0.13178499,55.97189,-2.9730432,8.467115,-1.6533182,-3.570562,4.46273,2.898686,21.511318,-35.869617,52.787415,2.764887,3.2848313,3.6066368,-1.0342824,-22.623518,52.997932,53.514034,10.378285,2.3267732,-11.6909895
2,0.12344618141651154,1.543096661567688,78.42364501953125,2.347594355904059,6.21987898860107,-107.99930367667763,8.293215,-4.680956,23.295847,6.532438,-10.5316105,-3.7749724,-16.57527,-19.031013,0.3823613,59.24972,-2.0021417,6.757727,-1.829296,-3.7010944,4.6443014,2.6106443,21.558289,-35.907402,52.068867,2.9054105,3.3521314,3.4264443,-0.99644846,-22.654238,53.062027,53.466557,10.313028,2.3005793,-11.7206
3,0.17272678017616272,1.3516417741775513,78.3056869506836,2.4433067222219615,6.151931491203912,-108.03036367008418,8.549517,-4.9031787,23.243921,6.528645,-10.7898,-3.8203351,-18.527552,-19.466175,0.57497996,62.442707,-1.0645828,4.907967,-2.02536,-3.8373423,4.8225737,2.328171,21.62171,-35.945137,51.321365,3.1013196,3.4205673,3.250265,-0.960515,-22.686308,53.120243,53.413994,10.242667,2.2691038,-11.738131
4,0.22190333902835846,1.1494768857955933,78.18063354492188,2.5335822198957,6.090654920634726,-108.0543500223689,8.808304,-5.1228538,23.191833,6.5257545,-11.100506,-3.8651445,-20.46347,-19.942488,0.6663101,65.45307,-0.18714072,2.8189857,-2.260554,-3.9811792,5.0065775,2.0791323,21.764711,-35.977604,50.454857,3.4317768,3.493478,3.0801878,-0.9188779,-22.740927,53.150402,53.313038,10.156333,2.2258449,-11.723107
5,0.28113213181495667,0.9418227672576904,78.0509262084961,2.618263570448523,6.035893653890683,-108.07801922446747,9.07552,-5.3475976,23.135925,6.5206647,-11.482809,-3.8965669,-22.442814,-20.607107,0.5248168,68.38361,0.82426196,0.0863239,-2.5435586,-4.1254826,5.1768785,1.8276768,21.914822,-36.008915,49.54905,4.001298,3.5674787,2.9215145,-0.89208305,-22.78007,53.14946,53.224525,10.034227,2.1451702,-11.643555
6,0.32797771692276,0.7207914590835571,77.9058837890625,2.7030761398187018,5.983216587584415,-108.09420215528928,9.349691,-5.580336,23.071285,6.5144863,-11.916313,-3.91538,-24.44342,-21.471634,0.18965323,71.239075,1.8957262,-3.155442,-2.8674388,-4.2771187,5.340394,1.5865735,22.087755,-36.039154,48.592804,4.7374363,3.6425705,2.7690105,-0.8754432,-22.80768,53.126522,53.140587,9.888563,2.0382087,-11.519075
7,0.38189560174942017,0.4959643483161926,77.76142120361328,2.7826386565740755,5.9329285798522164,-108.09000217962951,9.621457,-5.800152,23.006401,6.5112524,-12.371844,-3.9480617,-26.32932,-22.21059,-0.08507718,73.782555,2.6411552,-6.095962,-3.2188344,-4.418154,5.496966,1.3082399,22.257326,-36.081993,47.645336,5.4862175,3.7130485,2.6326609,-0.85950017,-22.821562,53.089108,53.071915,9.740668,1.9486067,-11.409589
8,0.41305381059646606,0.2690064609050751,77.60095977783203,2.8447999463108875,5.89078831080271,-108.0649934350568,9.877935,-5.979102,22.963493,6.510379,-12.817283,-4.023491,-27.979866,-22.37213,0.004495491,75.794205,2.7349925,-7.809725,-3.5684986,-4.5398245,5.65651,0.9911889,22.470121,-36.14706,46.676296,6.0826073,3.7784693,2.515692,-0.82739234,-22.827328,53.034622,52.99736,9.610832,1.9204249,-11.373625
9,0.43674343824386597,0.03538237512111664,77.44955444335938,2.8854188205528137,5.859424235928818,-108.03184293849488,10.1093855,-6.101302,22.98933,6.5143247,-13.257677,-4.186051,-29.327276,-21.572367,0.71501064,77.189674,1.9019225,-7.658772,-3.903886,-4.6322083,5.810315,0.6104463,22.700455,-36.240948,45.710613,6.472431,3.840861,2.4192998,-0.7792526,-22.82471,52.97514,52.919483,9.487846,1.9950846,-11.446072
