Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,26.477093,37.946767,82.176495,2.952555,-0.131640,-74.594515,3.267578,5.537867,21.563454,-0.981395,-3.159405,3.938985,0.301521,-6.116386,-15.749749,-0.886169,-1.237288,-3.689017,-4.749276,0.460521,8.724052,-0.481597,16.642960,-12.502667,64.853022,14.005382,2.633227,-3.930789,3.695130,-21.878443,13.183627,49.749254,-16.480410,-1.413692,5.270303
1.000000,26.340267,37.801772,82.140338,2.643747,-0.237386,-75.035269,3.406445,5.872232,21.886996,-0.044581,-3.611417,3.734598,0.380991,-5.992490,-15.293874,-0.267724,-1.811816,-3.518218,-4.757381,0.573659,8.829427,-1.377045,16.329162,-12.549901,67.416590,13.927676,0.497066,-3.267921,3.211204,-21.665488,13.547859,52.082276,-16.360718,-3.157512,4.684318
2.000000,26.309589,37.653163,82.105815,2.467761,-0.343576,-75.080205,3.519373,5.962910,21.944571,0.513626,-4.118591,3.667911,0.527002,-6.052234,-15.189659,0.170642,-2.322747,-3.500911,-4.943411,0.677342,8.630770,-1.313681,16.194802,-12.587916,67.838272,13.856520,-0.476732,-3.036834,3.849990,-21.658345,13.803716,52.788145,-16.220806,-3.856194,4.611695
3.000000,26.170358,37.544134,82.096672,2.540926,-0.377842,-75.219292,3.488655,6.073122,22.007891,0.642767,-4.153305,3.602854,0.469490,-5.984349,-15.282087,0.188830,-2.625232,-3.375087,-5.054652,0.769642,8.469419,-1.598475,16.153705,-12.691852,67.892408,13.819063,-1.191361,-2.782643,4.102425,-21.773769,13.981248,53.315015,-16.255171,-4.276416,4.485022
4.000000,25.998390,37.486684,82.115889,2.952836,-0.257463,-75.475941,3.373426,6.172824,22.315790,0.025448,-3.818346,3.667393,0.118639,-5.678599,-14.908710,-0.256439,-2.025253,-3.517063,-4.988136,1.013961,8.583414,-3.158150,15.935144,-12.596192,68.067992,13.598207,-1.617607,-2.263157,3.169500,-21.798709,13.923996,54.183423,-15.979854,-4.456193,4.232133
5.000000,25.941515,37.385598,82.113838,3.009798,-0.292753,-75.343571,3.387574,6.121531,22.082198,-0.079397,-3.577111,3.731086,0.156221,-5.670844,-14.874243,-0.263713,-2.127458,-3.853369,-5.475065,1.127897,8.689628,-4.093315,15.746048,-12.803849,67.910857,13.393665,-2.044335,-2.004662,2.569063,-21.753907,13.900357,55.090373,-15.792451,-4.640318,4.131166
6.000000,25.792921,37.205368,82.082289,2.832159,-0.370626,-75.488204,3.577304,6.363615,22.304744,0.388757,-3.895200,3.484162,0.156013,-5.582515,-14.744092,0.374788,-2.544950,-3.886969,-5.912940,1.216774,8.396089,-3.908206,15.612923,-13.054690,67.343159,13.279914,-2.403832,-1.686048,2.986048,-21.842829,14.240465,55.295354,-15.882647,-4.779001,4.052094
7.000000,25.673854,37.020689,82.051736,2.855046,-0.407871,-75.563357,3.742106,6.484641,22.582378,0.397312,-4.098689,3.062277,0.192898,-5.479599,-14.801833,0.480585,-2.842219,-3.972060,-6.669029,1.305852,8.087938,-3.798101,15.482782,-12.987427,66.549818,12.835332,-2.634578,-1.127563,2.888125,-21.906621,14.440164,55.369560,-15.956913,-4.834937,4.079278
8.000000,25.496399,36.844137,82.062286,3.119623,-0.348088,-75.949282,3.982316,6.565875,22.945143,-0.315275,-3.703128,2.975646,0.083385,-5.186073,-14.541970,0.027491,-2.543447,-4.086582,-7.687480,1.541751,7.996096,-4.015621,15.195467,-11.989512,65.546669,11.538541,-2.534333,-0.168779,1.287962,-22.131761,14.628633,55.759318,-16.469676,-4.677582,4.214478
9.000000,25.236958,36.614460,82.046926,3.167302,-0.368720,-76.510241,4.263959,6.841231,23.478036,-0.401683,-3.783042,2.824779,0.016816,-4.859695,-14.202039,0.008010,-2.861279,-4.137990,-8.781193,1.703623,7.728542,-3.778786,14.905868,-10.799623,64.716582,10.354402,-2.239340,0.824655,0.211744,-22.199833,14.472568,55.839774,-16.764580,-4.631255,4.408038
