Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.028000,-0.025500,79.106300,1.105725,-1.212051,1.417685,-3.008716,0.516235,8.425172,15.222400,-15.868009,0.057181,-2.083160,-2.095536,-16.586326,16.144404,-16.184797,-2.296759,0.568145,0.111612,-0.274504,-4.857078,101.777129,4.960038,80.170375,-3.210798,8.008976,4.430969,-5.446881,-93.842924,-4.920562,78.693232,2.629533,7.288252,-9.835222
1.000000,0.055800,-0.036600,79.074400,1.096189,-1.764797,1.643031,-2.208695,0.559092,8.481953,15.182694,-16.285580,0.003209,-1.256611,-2.230238,-17.381821,16.111229,-16.683500,-2.285529,0.422556,0.130061,0.199275,-4.950814,101.623461,5.948963,75.178079,-2.406824,13.201521,4.120942,-5.671767,-93.001707,-6.751391,73.183097,0.869922,12.944606,-10.659135
2.000000,0.140300,-0.048500,79.063300,1.076368,-2.199458,1.862877,-1.649603,0.558290,8.294538,15.162239,-16.404183,-0.022689,-0.656266,-2.247140,-17.675633,16.081035,-16.767209,-2.266392,0.303267,0.140203,0.558634,-4.929213,101.413129,7.252099,71.973583,-1.224296,16.446238,3.956388,-5.660651,-92.258237,-9.526569,69.466205,-1.297062,16.766006,-11.021072
3.000000,0.231100,-0.063400,79.059400,1.055478,-2.524629,2.023552,-1.218968,0.566942,8.128208,15.139951,-16.480501,-0.046983,-0.194405,-2.233962,-17.860011,16.042474,-16.785085,-2.258141,0.212625,0.144844,0.813142,-4.835706,101.051420,8.875918,69.923368,0.161861,18.492499,3.749550,-5.334008,-91.364538,-12.881925,66.720076,-3.998844,19.438109,-11.891624
4.000000,0.324300,-0.082200,79.057500,1.028601,-2.761427,2.125840,-0.884647,0.599543,8.012643,15.129925,-16.558996,-0.079183,0.160772,-2.195574,-17.984515,15.997784,-16.781877,-2.263756,0.152063,0.144385,0.993050,-4.678143,100.534326,10.816469,68.554457,1.662895,19.830986,3.431788,-4.718880,-90.251051,-16.555329,64.378512,-7.260865,21.437216,-13.330665
5.000000,0.417500,-0.103900,79.056100,0.993895,-2.932677,2.180334,-0.628477,0.655292,7.940565,15.145681,-16.650096,-0.118831,0.442381,-2.134268,-18.064041,15.940488,-16.764401,-2.279856,0.119805,0.141578,1.120534,-4.326748,100.010643,12.891608,67.612687,3.252968,20.710247,2.990553,-3.830452,-88.966537,-20.299035,62.206314,-11.055622,23.099596,-14.987201
6.000000,0.509200,-0.126900,79.055500,0.958271,-3.053962,2.209958,-0.426854,0.717916,7.896963,15.163099,-16.738446,-0.159855,0.672309,-2.065971,-18.117613,15.872879,-16.739420,-2.298420,0.108576,0.140489,1.211347,-3.783871,99.449660,15.065696,66.933560,4.886814,21.270371,2.494601,-2.928616,-87.459601,-24.215660,60.114102,-14.797609,24.381703,-15.800113
7.000000,0.598400,-0.150400,79.055700,0.927158,-3.134461,2.226441,-0.257831,0.773436,7.862585,15.152671,-16.808003,-0.200936,0.860067,-2.000711,-18.156288,15.802462,-16.713465,-2.316125,0.110065,0.141692,1.278613,-3.077414,98.862836,17.336099,66.417955,6.530115,21.629042,1.972293,-2.162228,-85.854918,-28.360208,58.054891,-18.176800,25.128267,-15.652348
8.000000,0.684200,-0.174400,79.056000,0.898884,-3.186180,2.236874,-0.120378,0.826320,7.837833,15.136399,-16.868450,-0.241502,1.011614,-1.940150,-18.187399,15.742703,-16.694730,-2.332568,0.116540,0.143755,1.332241,-2.239234,98.271601,19.705566,66.003707,8.159607,21.857939,1.439843,-1.448666,-84.295843,-32.470951,56.082942,-21.221956,25.461958,-14.554274
9.000000,0.766000,-0.199400,79.055700,0.871678,-3.217226,2.250587,-0.014439,0.877485,7.811248,15.128206,-16.926205,-0.282354,1.136920,-1.883140,-18.220172,15.691996,-16.684875,-2.347523,0.122899,0.145417,1.378078,-1.275862,97.707410,22.132386,65.644691,9.805199,22.031602,0.928650,-0.601434,-82.939136,-36.124015,54.328202,-24.210962,25.588868,-12.598654
