Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.000400,0.000300,78.849900,-0.029650,-0.036238,-4.895129,-0.218240,7.101926,17.501569,16.229488,-16.625516,-3.262651,-0.901721,-7.983365,-20.143592,18.453939,-15.274826,3.263281,-0.284244,0.185352,-0.386231,-5.106200,96.148105,4.657058,78.998103,-4.062271,8.916541,-5.476159,-3.927339,-94.546860,-1.074124,74.089516,-2.150998,5.368615,6.009124
1.000000,0.004100,-0.000100,78.791600,-0.177821,-0.637863,-4.846760,0.675918,7.493600,18.144599,16.173510,-17.102332,-3.654726,-0.082678,-8.270703,-20.985095,18.529971,-15.806359,3.618859,-0.342228,0.280119,0.174408,-4.865271,97.109413,5.825606,73.652006,-3.364236,14.594037,-6.483075,-5.452954,-94.753354,-3.140554,67.996397,-5.734677,11.752052,8.040202
2.000000,-0.031400,-0.005400,78.777900,-0.282676,-1.081922,-4.778049,1.184590,7.594384,18.133312,16.088941,-17.116427,-3.714715,0.412931,-8.265604,-21.151768,18.529512,-15.865201,3.659424,-0.393737,0.346238,0.628878,-4.312310,97.147974,7.434185,70.275164,-2.328902,18.074355,-6.705153,-6.318177,-93.967198,-5.869380,64.009928,-9.642249,15.967417,9.391867
3.000000,-0.066800,-0.012200,78.777300,-0.358890,-1.405841,-4.699995,1.520401,7.635121,18.048342,16.010446,-17.068585,-3.719413,0.761633,-8.224236,-21.245103,18.505334,-15.856091,3.655471,-0.437568,0.390413,0.964403,-3.584137,96.851869,9.387054,68.106634,-1.079395,20.175391,-6.769038,-6.585004,-92.828617,-9.117191,61.293134,-13.588382,18.612878,10.573077
4.000000,-0.094700,-0.019400,78.778400,-0.419211,-1.645460,-4.637401,1.751532,7.669155,17.968816,15.972459,-17.036499,-3.722507,1.014937,-8.181837,-21.316035,18.485108,-15.843028,3.647220,-0.475268,0.418947,1.207852,-2.743780,96.443808,11.581196,66.624850,0.308022,21.495715,-6.837277,-6.365905,-91.583866,-12.714793,59.245268,-17.447482,20.272049,11.718878
5.000000,-0.116000,-0.026100,78.778600,-0.469452,-1.827681,-4.591851,1.914538,7.704048,17.902410,15.969422,-17.024238,-3.729783,1.201894,-8.143048,-21.367659,18.475712,-15.834434,3.640001,-0.506609,0.436938,1.382490,-1.821605,95.981431,13.940120,65.518240,1.795535,22.376638,-6.925570,-5.780800,-90.305368,-16.513159,57.516884,-21.179442,21.313400,12.856199
6.000000,-0.131900,-0.031900,78.778400,-0.509208,-1.974400,-4.560435,2.047064,7.734185,17.856631,15.969079,-17.016560,-3.742446,1.349487,-8.111192,-21.404271,18.471243,-15.829449,3.632896,-0.531476,0.448683,1.505561,-0.830216,95.478203,16.404240,64.602424,3.369565,23.000187,-7.022686,-4.949152,-89.016499,-20.372546,55.928989,-24.767705,21.946805,13.994265
7.000000,-0.143400,-0.036400,78.777900,-0.535506,-2.093177,-4.541571,2.161541,7.751145,17.826264,15.957619,-17.012091,-3.733909,1.463621,-8.090680,-21.423866,18.474394,-15.827501,3.625906,-0.549638,0.457048,1.589901,0.206494,94.929194,18.948345,63.773698,5.000833,23.468008,-7.138481,-3.996839,-87.729751,-24.173949,54.390482,-28.188492,22.318024,15.124424
8.000000,-0.150900,-0.039200,78.777100,-0.552139,-2.191652,-4.534974,2.266105,7.758823,17.812513,15.937566,-17.008539,-3.725372,1.553575,-8.080195,-21.430799,18.485910,-15.830308,3.621609,-0.561900,0.462835,1.644675,1.263716,94.327875,21.558167,62.976255,6.654389,23.852806,-7.310082,-3.033468,-86.462196,-27.807418,52.872660,-31.403588,22.516783,16.228743
9.000000,-0.155200,-0.041100,78.776100,-0.560917,-2.276411,-4.536083,2.365055,7.759396,17.811711,15.911668,-17.006648,-3.720444,1.628461,-8.077330,-21.432059,18.504130,-15.837986,3.622354,-0.569463,0.466903,1.677850,2.346892,93.688684,24.191252,62.175546,8.337911,24.182142,-7.545167,-2.132033,-85.240249,-31.187869,51.390647,-34.370478,22.550817,17.267687
