Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.003800,-0.000400,78.575100,0.060041,0.553648,-2.297116,-2.652852,4.476519,11.211065,17.368070,-17.009169,-2.016525,-0.110695,-5.685976,-28.615575,16.203934,-16.677713,-0.144443,0.946469,-0.018678,-0.031570,-4.799954,99.298112,5.234943,79.463173,-3.598404,8.216616,2.383676,-5.207098,-95.506449,-2.982646,74.237740,-2.018931,5.471117,-8.866579
1.000000,0.032200,-0.019200,78.523200,-0.038839,-0.139815,-2.054787,-1.870994,4.713323,11.401115,17.578460,-17.589976,-2.241182,0.984685,-5.933608,-29.913267,16.153342,-17.167477,0.114076,0.751835,0.058843,0.622060,-4.493364,99.654263,6.596921,74.219635,-2.733582,13.672492,2.096109,-6.500493,-94.337845,-5.051712,68.138376,-5.583130,11.792159,-8.761613
2.000000,0.029000,-0.055800,78.506400,-0.099071,-0.650258,-1.886741,-1.356764,4.797949,11.264579,17.667784,-17.697234,-2.330907,1.592021,-5.926905,-30.222607,16.160618,-17.242821,0.117571,0.566369,0.118831,1.155427,-3.982802,99.436883,8.367246,70.843997,-1.399850,17.062740,2.005639,-7.167186,-93.104381,-7.828380,63.990734,-9.536310,15.968849,-8.079908
3.000000,0.025400,-0.092900,78.504100,-0.150492,-1.014822,-1.760911,-1.007546,4.852208,11.118762,17.707089,-17.666810,-2.345747,1.994351,-5.881756,-30.374269,16.163884,-17.233023,0.104106,0.421239,0.164955,1.562800,-3.283048,99.000174,10.435510,68.637536,0.277312,19.232360,1.893855,-7.285330,-91.794600,-11.185167,61.022870,-13.553087,18.592824,-7.017301
4.000000,0.029900,-0.131500,78.502600,-0.182454,-1.274544,-1.647953,-0.749372,4.887559,10.978616,17.708407,-17.673055,-2.413470,2.285586,-5.841591,-30.501752,16.165431,-17.218871,0.094767,0.311173,0.203801,1.865722,-2.528749,98.450822,12.839182,67.045459,2.081899,20.601041,1.703060,-6.964187,-90.439612,-14.963881,58.722043,-17.489938,20.251766,-5.857118
5.000000,0.042000,-0.169700,78.501900,-0.194268,-1.471306,-1.553095,-0.535716,4.913113,10.891355,17.691447,-17.648189,-2.448994,2.508352,-5.817355,-30.598295,16.173682,-17.226606,0.071391,0.225975,0.238236,2.085624,-1.690970,97.825324,15.482294,65.800765,3.987786,21.565960,1.446203,-6.287009,-89.095396,-18.937917,56.770033,-21.369091,21.360210,-4.776921
6.000000,0.058200,-0.207200,78.499900,-0.201423,-1.626152,-1.489304,-0.354546,4.942792,10.841565,17.671909,-17.644579,-2.518780,2.696053,-5.784926,-30.665389,16.160790,-17.243394,0.060161,0.159053,0.266024,2.243817,-0.710067,97.166595,18.264176,64.734319,6.035079,22.235919,1.192211,-5.378355,-87.721786,-22.927594,54.961951,-25.118527,22.069990,-3.673347
7.000000,0.073100,-0.240900,78.497500,-0.216440,-1.733544,-1.442520,-0.244080,4.980493,10.792520,17.682681,-17.648361,-2.537057,2.813223,-5.761721,-30.731737,16.193506,-17.252447,0.038675,0.107544,0.291521,2.365800,0.329222,96.460481,21.254213,63.723392,8.118010,22.733590,0.918394,-4.372814,-86.308586,-26.839005,53.219529,-28.635342,22.462295,-2.507550
8.000000,0.088700,-0.271500,78.493900,-0.222535,-1.809166,-1.412516,-0.170684,5.004500,10.740438,17.713907,-17.671050,-2.603692,2.884040,-5.749059,-30.764854,16.242895,-17.267687,0.028419,0.065489,0.313752,2.460223,1.473934,95.684697,24.365259,62.711491,10.264596,23.162163,0.586995,-3.396035,-84.881978,-30.565637,51.519849,-31.843390,22.585366,-1.336252
9.000000,0.103900,-0.301900,78.490800,-0.222613,-1.871196,-1.398437,-0.116196,5.031085,10.728692,17.749946,-17.659132,-2.562153,2.955431,-5.734505,-30.804216,16.265069,-17.302695,0.019022,0.029679,0.331456,2.531270,2.741947,94.857116,27.518246,61.679365,12.480109,23.533783,0.187816,-2.459880,-83.533580,-33.918815,49.934876,-34.814062,22.559239,-0.219443
