Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.019600,-0.001900,79.043700,0.163402,1.681855,-0.458982,-0.758768,1.665015,6.808400,9.718224,-14.057233,-0.078724,-3.204782,0.629967,-0.496697,14.020678,-14.298506,-0.359187,-0.449772,-0.291406,-0.389038,-1.950176,102.206389,1.968053,84.480793,-1.840111,8.646621,0.775785,0.929338,-98.369634,1.616658,81.766635,-2.736962,13.597893,-10.067098
1.000000,0.029700,-0.002500,79.032500,0.282279,1.326357,-0.595520,0.152808,1.603422,7.217549,8.953726,-14.018673,-0.156417,-2.610625,0.551529,-0.352541,13.764566,-14.544075,-0.381704,-0.336956,-0.415566,-0.075057,-1.953901,102.202263,2.420116,80.526067,-1.508369,12.718345,0.243622,0.609971,-97.996868,0.900117,75.922523,-3.851823,19.804229,-10.154932
2.000000,0.012800,0.003800,79.032700,0.379042,1.035835,-0.691699,0.552503,1.516218,7.352252,8.796335,-13.964872,-0.161402,-2.282836,0.471544,-0.236116,13.721422,-14.559545,-0.371907,-0.233079,-0.502828,0.202197,-2.033886,102.207248,3.225122,77.804231,-0.766274,15.301984,0.122899,0.534169,-97.662432,-0.465184,72.130058,-5.417774,23.670605,-9.753976
3.000000,-0.003400,0.012400,79.034200,0.449590,0.815691,-0.760108,0.788505,1.443281,7.429200,8.767343,-13.947913,-0.153094,-2.065513,0.404909,-0.148797,13.723256,-14.557196,-0.357010,-0.155214,-0.563389,0.413676,-2.114902,102.179574,4.195369,76.078195,0.224370,16.827369,0.077177,0.635467,-97.270071,-2.187610,69.843211,-7.260865,25.822119,-9.285927
4.000000,-0.016200,0.020400,79.035000,0.504323,0.648154,-0.807427,0.951568,1.385068,7.482886,8.762129,-13.942527,-0.142896,-1.913106,0.350822,-0.085371,13.744054,-14.560233,-0.340853,-0.099695,-0.605960,0.571984,-2.176667,102.139467,5.246173,74.918701,1.359973,17.808388,0.117284,0.891694,-96.839951,-4.122890,68.454706,-9.246336,26.868627,-8.823435
5.000000,-0.026500,0.028000,79.035100,0.545287,0.519813,-0.841997,1.070228,1.340263,7.522477,8.764822,-13.939949,-0.132525,-1.808083,0.308767,-0.037185,13.782557,-14.573697,-0.325268,-0.063656,-0.637587,0.690758,-2.184459,102.078161,6.316745,74.068661,2.573153,18.471873,0.116883,1.262398,-96.383247,-6.209316,67.600597,-11.283258,27.311809,-8.378247
6.000000,-0.034900,0.035200,79.034700,0.577218,0.423419,-0.867553,1.157031,1.305255,7.552672,8.772156,-13.938344,-0.122441,-1.736177,0.275020,-0.000286,13.823237,-14.591058,-0.310429,-0.042685,-0.661824,0.780540,-2.183599,101.992790,7.450170,73.414171,3.783183,18.899471,0.111268,1.723457,-95.905343,-8.383748,67.051876,-13.347052,27.513949,-7.943716
7.000000,-0.042400,0.042700,79.034500,0.601157,0.351836,-0.890987,1.220228,1.277868,7.578742,8.780578,-13.937428,-0.113388,-1.683293,0.248492,0.030367,13.849536,-14.602001,-0.294959,-0.032773,-0.680617,0.849123,-2.188985,101.871151,8.667763,72.924349,4.942907,19.130373,0.086631,2.237744,-95.422397,-10.593302,66.693032,-15.423164,27.633640,-7.511133
8.000000,-0.049800,0.051100,79.034600,0.620139,0.293675,-0.917431,1.270935,1.254262,7.605041,8.788829,-13.936797,-0.103763,-1.640722,0.226146,0.060218,13.864375,-14.605267,-0.280119,-0.030023,-0.694081,0.899143,-2.216430,101.704821,9.990894,72.582408,6.018463,19.255049,0.058270,2.787268,-94.920486,-12.784407,66.342325,-17.519101,27.677299,-7.130116
9.000000,-0.057200,0.060900,79.034900,0.634809,0.240745,-0.955909,1.318147,1.234953,7.643372,8.796506,-13.936511,-0.092017,-1.604740,0.207697,0.096658,13.875777,-14.603606,-0.267743,-0.033518,-0.702160,0.931343,-2.250005,101.491681,11.404897,72.389665,7.018160,19.390725,0.118602,3.418896,-94.414392,-14.825856,65.958500,-19.676001,27.690592,-6.508972
10.000000,-0.063700,0.070600,79.035500,0.647329,0.192215,-1.008262,1.368911,1.220801,7.694193,8.797939,-13.937026,-0.082907,-1.572425,0.194462,0.139057,13.880304,-14.595183,-0.263160,-0.039534,-0.705941,0.948933,-2.182912,101.234366,12.790653,72.294096,8.010065,19.534079,0.085543,4.024226,-93.945942,-16.767610,65.524485,-21.826197,27.690305,-5.694169
11.000000,-0.069300,0.079200,79.035800,0.654951,0.151624,-1.060757,1.410909,1.212608,7.744098,8.803497,-13.941897,-0.077578,-1.546069,0.186899,0.177961,13.887007,-14.588078,-0.263102,-0.046238,-0.707546,0.956267,-1.930753,100.984270,14.029960,72.241040,9.073188,19.702071,-0.258576,4.509407,-93.538511,-18.725120,65.098090,-23.914399,27.698212,-5.019626
12.000000,-0.075500,0.084900,79.036000,0.658595,0.119258,-1.103550,1.431764,1.212379,7.784090,8.829566,-13.952783,-0.076776,-1.529797,0.186670,0.209072,13.899097,-14.582463,-0.273874,-0.055634,-0.708749,0.958272,-1.639461,100.782531,15.250532,72.182484,10.148057,19.856139,-0.500708,4.910707,-93.174454,-20.692600,64.717359,-25.959744,27.713224,-4.473769
13.000000,-0.081700,0.088000,79.036300,0.656929,0.097762,-1.137805,1.437035,1.219884,7.815316,8.863313,-13.966075,-0.078896,-1.525156,0.193431,0.232277,13.914681,-14.571233,-0.286995,-0.066692,-0.709723,0.959704,-1.298895,100.600445,16.444003,72.110520,11.245615,19.943801,-0.667668,5.244455,-92.818189,-22.684660,64.328493,-27.947678,27.724339,-4.037519
14.000000,-0.088300,0.088900,79.036600,0.652540,0.080812,-1.163718,1.438353,1.230713,7.837948,8.892878,-13.976446,-0.081704,-1.523609,0.203515,0.249867,13.927745,-14.559144,-0.298683,-0.077750,-0.710238,0.960736,-0.918222,100.426381,17.635297,72.021998,12.354574,19.998175,-0.802771,5.537580,-92.437630,-24.724160,63.895394,-29.852190,27.728579,-3.714600
15.000000,-0.095100,0.087900,79.036600,0.649076,0.065847,-1.181737,1.441676,1.240626,7.853704,8.911614,-13.981030,-0.085829,-1.518911,0.213312,0.263160,13.931411,-14.554675,-0.310887,-0.086918,-0.710238,0.961251,-0.547920,100.244409,18.888413,71.912735,13.421937,20.049054,-0.935296,5.854998,-92.015475,-26.768359,63.434621,-31.675914,27.725886,-3.385550
16.000000,-0.102000,0.084900,79.036600,0.647327,0.051245,-1.193572,1.449927,1.249736,7.864419,8.918031,-13.979826,-0.090585,-1.510202,0.223282,0.273014,13.928375,-14.554446,-0.323377,-0.093736,-0.710754,0.961194,-0.166100,100.055849,20.171609,71.760328,14.482654,20.115517,-1.075614,6.226218,-91.577506,-28.791129,62.995907,-33.432775,27.720214,-2.990725
17.000000,-0.109000,0.081300,79.036400,0.643263,0.034855,-1.201386,1.464652,1.257814,7.872497,8.913333,-13.973982,-0.096372,-1.497482,0.235027,0.281093,13.922531,-14.556680,-0.335639,-0.098262,-0.713161,0.960048,0.216234,99.855887,21.494283,71.575206,15.533000,20.199570,-1.185106,6.681433,-91.145725,-30.716153,62.606182,-35.179723,27.718839,-2.491793
18.000000,-0.116000,0.077000,79.036100,0.639277,0.015274,-1.206202,1.485622,1.264919,7.878857,8.901530,-13.965331,-0.102674,-1.480809,0.245971,0.288656,13.916572,-14.561722,-0.347442,-0.100898,-0.717114,0.957126,0.635066,99.644179,22.826467,71.393864,16.593431,20.290727,-1.343529,7.171025,-90.708845,-32.519652,62.170390,-36.902722,27.712937,-1.950578
19.000000,-0.123000,0.071800,79.035800,0.639602,-0.008227,-1.206988,1.510489,1.267669,7.883670,8.888466,-13.956335,-0.109206,-1.459896,0.252101,0.295417,13.911816,-14.568483,-0.358442,-0.101929,-0.720093,0.951626,1.082718,99.414938,24.179736,71.210403,17.654835,20.364181,-1.519828,7.633459,-90.259646,-34.228098,61.669797,-38.556794,27.702280,-1.456058
20.000000,-0.130200,0.066400,79.035200,0.640250,-0.033787,-1.206501,1.535985,1.270820,7.887623,8.877637,-13.948944,-0.114993,-1.438812,0.256513,0.298454,13.911931,-14.576333,-0.368584,-0.102101,-0.723130,0.944406,1.565550,99.166332,25.539823,71.011702,18.728443,20.410705,-1.692002,8.056245,-89.794404,-35.826936,61.117523,-40.121599,27.686352,-0.991733
21.000000,-0.137900,0.061000,79.034400,0.638926,-0.061615,-1.205430,1.559648,1.277753,7.892608,8.873741,-13.945334,-0.119175,-1.419216,0.262873,0.301605,13.918978,-14.586360,-0.377178,-0.102559,-0.727828,0.935354,2.062362,98.896354,26.910854,70.785498,19.801135,20.437519,-1.877525,8.403171,-89.330022,-37.329633,60.571150,-41.589918,27.673403,-0.529814
22.000000,-0.146600,0.055200,79.033200,0.639274,-0.094041,-1.203874,1.579244,1.284972,7.894499,8.885315,-13.949230,-0.122155,-1.398876,0.269233,0.305673,13.932099,-14.598392,-0.384225,-0.103190,-0.733672,0.923207,2.540609,98.602713,28.314658,70.515406,20.847528,20.437290,-2.071414,8.673149,-88.864608,-38.701065,59.990171,-42.957396,27.659308,-0.080730
23.000000,-0.156700,0.049600,79.031900,0.641404,-0.131632,-1.200224,1.601875,1.288066,7.890832,8.898035,-13.953700,-0.124217,-1.377448,0.271983,0.307105,13.951694,-14.612887,-0.390929,-0.103705,-0.740261,0.905502,2.986829,98.281341,29.760058,70.205779,21.855933,20.419127,-2.253042,8.878096,-88.374443,-39.861361,59.251227,-44.168171,27.740439,0.365490
24.000000,-0.167900,0.044400,79.030500,0.644478,-0.167708,-1.190507,1.621700,1.287723,7.885962,8.910410,-13.957195,-0.124332,-1.358368,0.271811,0.303725,13.973581,-14.628243,-0.396086,-0.104049,-0.747939,0.883902,3.375925,97.906971,31.256738,69.850144,22.812143,20.424513,-2.402297,9.017840,-87.921119,-40.928667,58.619140,-45.282172,27.743419,0.747252
25.000000,-0.180800,0.039300,79.029400,0.649019,-0.198315,-1.163626,1.630351,1.283483,7.872669,8.926453,-13.959257,-0.121754,-1.341065,0.267743,0.288083,13.989509,-14.640619,-0.397174,-0.102273,-0.756476,0.861098,3.744394,97.484185,32.757716,69.463742,23.741996,20.424570,-2.577451,9.117535,-87.479311,-41.851817,58.005388,-46.274593,27.714656,1.096928
26.000000,-0.195500,0.033900,79.028300,0.654206,-0.221853,-1.142282,1.631268,1.277409,7.850152,8.941809,-13.961148,-0.118144,-1.334705,0.264076,0.271926,14.006870,-14.650760,-0.395398,-0.100726,-0.766159,0.840644,4.176289,97.045414,34.158369,69.088855,24.715738,20.417638,-2.914235,9.152772,-87.056640,-42.683580,57.478496,-47.131336,27.687154,1.442421
27.000000,-0.211600,0.028100,79.027400,0.660255,-0.239016,-1.127045,1.625768,1.273055,7.832906,8.957909,-13.962981,-0.113961,-1.338258,0.257487,0.257143,14.025950,-14.659125,-0.389382,-0.099867,-0.776014,0.825117,4.624514,96.632312,35.495308,68.715573,25.727409,20.421247,-3.238529,9.144521,-86.680264,-43.418398,57.081780,-47.910101,27.676955,1.730791
28.000000,-0.229500,0.021000,79.026700,0.669510,-0.256447,-1.113632,1.619236,1.269846,7.822020,8.976014,-13.964242,-0.110753,-1.343987,0.247174,0.240012,14.044857,-14.664454,-0.372881,-0.097976,-0.784093,0.813027,4.991150,96.237200,36.879460,68.313070,26.725215,20.441301,-3.198250,9.098512,-86.360725,-44.041891,56.805041,-48.626126,27.674836,1.979569
