Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.006700,-0.004500,78.296500,-1.895615,2.836867,36.802715,-11.491872,6.694668,17.526149,21.958779,-14.694477,-0.328133,-13.470009,-0.854509,-5.825663,22.018023,-17.605331,-0.833539,1.049487,-0.189706,0.408863,-4.166148,90.475937,18.285776,66.331782,1.054185,-4.634827,28.975221,-5.468366,-83.234095,-16.444061,61.983262,1.296088,-13.670200,-24.045091
1.000000,0.040800,-0.020000,78.196500,-2.116887,3.084116,37.554420,-12.194547,6.806108,17.410698,22.836436,-15.384261,-0.407717,-14.251867,-1.219025,-6.620986,23.095470,-18.616430,-0.856801,0.462721,-0.181112,0.124905,4.170846,80.775132,33.616522,52.114121,11.085645,2.344658,31.253816,2.164864,-76.156462,-27.281557,51.606079,-5.162350,-9.597788,-26.685567
2.000000,0.085900,-0.039700,78.157200,-2.312540,3.287585,38.172992,-12.641512,6.685100,16.876988,23.082120,-15.533115,-0.438255,-14.569515,-1.438296,-7.189360,23.330154,-18.835644,-0.875308,0.046352,-0.166616,-0.116024,11.541834,70.734791,48.681073,36.529669,21.190443,7.629105,27.423479,8.172040,-69.766836,-38.110116,41.849353,-11.542407,-5.977955,-25.032297
3.000000,0.130500,-0.061300,78.142000,-2.467721,3.443740,38.684072,-12.962081,6.551199,16.391348,23.173908,-15.559299,-0.462663,-14.727766,-1.601302,-7.653628,23.348087,-18.890934,-0.898226,-0.264535,-0.147422,-0.299313,16.006321,62.459103,58.689786,23.249940,27.809710,10.453787,21.572090,11.921304,-64.081949,-46.597110,33.363161,-16.619443,-3.409385,-21.631105
4.000000,0.175800,-0.080500,78.134900,-2.590520,3.564611,39.109797,-13.206448,6.433800,15.984377,23.226162,-15.560732,-0.485410,-14.817834,-1.732338,-8.041233,23.316861,-18.913967,-0.921373,-0.499676,-0.123358,-0.435219,18.182357,56.901126,64.063901,13.903738,31.410406,12.192656,16.825536,13.798829,-59.645479,-52.161562,26.779417,-20.141357,-1.555638,-18.395612
5.000000,0.221300,-0.096500,78.131400,-2.690215,3.657453,39.471927,-13.396613,6.333991,15.638768,23.259967,-15.554887,-0.507755,-14.865562,-1.838507,-8.371658,23.267014,-18.925254,-0.944292,-0.676835,-0.095627,-0.535143,19.190075,53.496611,66.722941,7.855481,33.340185,13.532117,13.737523,14.607043,-56.519135,-55.461226,22.034696,-22.502230,-0.197097,-15.980710
6.000000,0.266400,-0.108900,78.130200,-2.773037,3.726179,39.791537,-13.544780,6.248907,15.335273,23.281166,-15.545491,-0.530731,-14.879026,-1.926456,-8.665242,23.203931,-18.928921,-0.965720,-0.806209,-0.065546,-0.608710,19.700810,51.490342,67.994162,4.074246,34.478079,14.546424,11.871857,14.916899,-54.428928,-57.342533,18.753252,-24.069842,0.758080,-14.377459
7.000000,0.310900,-0.117800,78.130500,-2.842685,3.775325,40.076569,-13.659486,6.176084,15.064206,23.294058,-15.534089,-0.552102,-14.868369,-2.000081,-8.930177,23.136781,-18.931041,-0.986003,-0.896908,-0.034435,-0.662740,19.990555,50.325863,68.597544,1.739672,35.211637,15.222285,10.752412,15.021464,-53.058470,-58.410583,16.536765,-25.112912,1.386386,-13.386930
8.000000,0.354400,-0.123500,78.131000,-2.899407,3.809187,40.333311,-13.747893,6.111512,14.820126,23.302595,-15.523890,-0.572328,-14.845738,-2.064940,-9.169903,23.083381,-18.939636,-1.005083,-0.957412,-0.004469,-0.701759,20.163187,49.651663,68.891987,0.309569,35.690458,15.598031,10.052029,15.031147,-52.154973,-59.018205,15.059279,-25.751817,1.739614,-12.787788
9.000000,0.396500,-0.126400,78.130700,-2.942326,3.831757,40.567932,-13.814528,6.050091,14.598564,23.308725,-15.517129,-0.590949,-14.819267,-2.127049,-9.386825,23.056452,-18.961752,-1.022787,-0.994254,0.021601,-0.729662,20.262824,49.260218,69.051212,-0.566827,35.959461,15.802348,9.592459,14.998889,-51.556576,-59.354188,14.086282,-26.097254,1.886865,-12.436851
