Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.001200,0.007800,78.731500,0.802734,0.128397,-2.500059,2.540151,-2.178500,0.460887,8.182926,-13.541628,0.813887,0.385772,2.333084,-2.609422,13.896518,-16.037261,-3.241509,0.066750,-0.515490,-1.668797,7.387603,97.042664,-3.304591,85.933299,2.262267,8.777198,-23.755002,1.718701,-101.155813,3.036963,80.377499,-4.669893,10.731901,-2.707970
1.000000,0.045900,-0.010700,78.722900,1.100251,0.055246,-2.590526,3.345672,-2.514769,0.535544,7.072247,-13.410536,0.892496,0.836346,2.127106,-2.516832,13.539107,-16.340011,-3.433679,0.155730,-0.820934,-1.675271,8.948168,99.876513,-3.058621,84.997831,1.403346,9.480962,-26.149507,0.926645,-101.636926,2.506404,74.997998,-6.270908,16.303743,-1.634992
2.000000,0.056700,-0.023500,78.723300,1.261931,-0.150532,-2.583219,3.676269,-2.684938,0.535544,6.889359,-13.386013,0.872787,1.143223,1.992060,-2.495231,13.465253,-16.384645,-3.558584,0.244080,-1.084151,-1.621184,9.826914,101.640822,-2.709059,84.660129,0.905331,12.818269,-13.965789,0.047670,-101.484978,1.490664,71.557272,-8.322785,19.958125,-4.282573
3.000000,0.066900,-0.030000,78.724900,1.383315,-0.356980,-2.442712,3.861678,-2.832245,0.418431,6.940925,-13.435402,0.860296,1.401054,1.857243,-2.589712,13.458549,-16.410371,-3.711105,0.347728,-1.311787,-1.547845,9.957147,102.152645,-2.182912,83.357109,0.783348,16.131455,-0.353973,-0.096715,-100.716068,0.880120,69.946630,-10.065608,21.398026,-1.621069
4.000000,0.074500,-0.030800,78.725400,1.497157,-0.559870,-2.249128,3.992886,-2.987574,0.246658,7.064570,-13.493213,0.860468,1.627257,1.707013,-2.740858,13.498026,-16.465833,-3.829478,0.448339,-1.508770,-1.475767,10.222083,101.799646,-1.718701,81.626948,0.627733,17.151950,4.861604,-0.198530,-100.447695,0.045321,69.500755,-11.356940,21.904749,3.654611
5.000000,0.076500,-0.028800,78.725100,1.627035,-0.739994,-2.049637,4.086049,-3.160149,0.066979,7.196980,-13.535670,0.864020,1.819657,1.529454,-2.908448,13.547702,-16.559168,-3.836640,0.533997,-1.659744,-1.410278,10.331174,101.485379,-0.879376,80.552595,-0.175382,16.259969,1.924279,-0.813829,-100.806653,-1.424660,69.319471,-12.905702,23.104237,4.656543
6.000000,0.070600,-0.023100,78.726300,1.768638,-0.878044,-1.851784,4.129765,-3.344641,-0.109951,7.319307,-13.558129,0.869922,1.983293,1.333044,-3.079935,13.557728,-16.649294,-3.769432,0.591923,-1.752334,-1.342956,10.199680,101.384423,0.648703,80.316651,-1.492440,15.889724,-0.855827,-1.906116,-101.207150,-3.497621,68.701135,-15.013328,25.341178,-0.690185
7.000000,0.056000,-0.009800,78.729400,1.886807,-0.967407,-1.664101,4.128333,-3.510398,-0.278515,7.412527,-13.555723,0.880980,2.128023,1.152218,-3.249244,13.492640,-16.708767,-3.644642,0.603668,-1.802468,-1.261710,10.010432,101.882553,2.065570,80.394401,-2.256251,16.598072,1.899298,-3.011638,-101.069125,-5.853795,67.778100,-17.041083,27.318341,-7.481626
8.000000,0.032200,0.012100,78.733400,1.955532,-1.022103,-1.499959,4.124666,-3.630662,-0.430807,7.436247,-13.522778,0.897653,2.250349,1.022099,-3.393171,13.371804,-16.741769,-3.535207,0.569463,-1.841945,-1.162417,10.299948,102.119070,2.870232,80.154217,-2.033714,17.480369,7.737165,-3.411906,-100.410624,-7.857142,67.403385,-18.612935,27.686467,-10.275311
9.000000,-0.002900,0.039500,78.738900,1.995973,-1.066441,-1.363585,4.166721,-3.720158,-0.561040,7.354314,-13.451330,0.916904,2.339444,0.925728,-3.509882,13.242716,-16.747098,-3.459347,0.526434,-1.879989,-1.057222,10.624185,102.306714,3.306998,79.703758,-1.487341,17.711329,10.666870,-2.942367,-99.817441,-9.206630,67.354741,-19.994107,27.629515,-8.818279
