Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.051600,-0.018300,78.674100,1.027227,2.892787,-3.352931,-7.777787,8.973780,16.345741,19.074109,-13.272797,-3.233774,-7.717398,-8.641292,-18.847332,17.749946,-17.033348,2.147618,-0.284932,0.223912,-0.820017,-6.425894,93.732629,10.032376,72.209126,-4.712119,1.318720,11.577815,-5.269092,-90.159206,-10.473898,69.842868,2.709288,-9.045113,-16.103093
1.000000,0.173600,0.141900,78.611500,0.869018,3.422409,-3.270303,-8.324676,9.417994,16.836479,19.585359,-13.888382,-3.447258,-8.148205,-9.010105,-19.634461,18.302850,-17.661711,2.580487,-0.365547,0.337644,-1.352180,-3.490402,91.943970,14.341420,65.911919,-3.046187,6.561169,13.156429,-1.599412,-87.527898,-15.935102,64.285292,-0.170168,-5.704311,-17.853136
2.000000,0.280700,0.336400,78.574400,0.728450,3.792438,-3.241463,-8.712282,9.481420,16.858939,19.903408,-14.238803,-3.356329,-8.570475,-9.161481,-19.719546,18.703233,-17.842822,2.794315,-0.401185,0.399294,-1.743110,-0.127655,90.282851,19.609079,61.392600,-0.697060,10.056040,13.543920,1.609496,-85.540364,-22.077611,59.481671,-3.874283,-2.644544,-17.592669
3.000000,0.389400,0.537200,78.552600,0.659486,4.066571,-3.266131,-8.916713,9.404529,16.908271,20.016624,-14.462830,-3.214007,-8.936881,-9.331935,-19.658239,19.069926,-17.939480,2.975370,-0.405826,0.416254,-2.032339,3.446169,88.369114,25.697730,57.673130,2.184172,12.356064,13.404233,4.344968,-83.533064,-28.471533,54.996328,-8.123166,-0.008480,-16.394385
4.000000,0.498900,0.737100,78.539500,0.640748,4.269858,-3.305241,-8.982374,9.252294,17.000861,19.970902,-14.596558,-3.063204,-9.234303,-9.541810,-19.562842,19.415649,-18.019408,3.157800,-0.397289,0.386231,-2.249318,7.082962,86.081809,32.223719,54.122052,5.423790,13.931411,12.925641,6.604943,-81.377597,-34.594275,50.736845,-12.391358,2.150769,-14.635577
5.000000,0.606300,0.931400,78.527500,0.645361,4.426407,-3.312778,-9.013715,9.069120,17.076778,19.913893,-14.707483,-2.913319,-9.464804,-9.777124,-19.492139,19.732781,-18.100653,3.340573,-0.385314,0.307335,-2.408715,10.555831,83.534324,38.626007,50.487150,8.779146,15.056357,12.056407,8.431418,-79.250835,-39.996809,46.833627,-16.267532,3.800945,-12.620198
6.000000,0.708300,1.118300,78.510500,0.661738,4.553610,-3.268057,-9.098512,8.880158,17.095342,19.982190,-14.860692,-2.765782,-9.649469,-10.033923,-19.468991,20.036792,-18.196337,3.519680,-0.375115,0.188847,-2.518780,13.564146,80.958192,44.311754,46.843998,11.957457,15.881416,10.801859,9.910279,-77.385513,-44.457056,43.463891,-19.537975,4.983931,-10.636331
7.000000,0.804300,1.299300,78.487300,0.689842,4.659620,-3.176432,-9.242611,8.683806,17.057641,20.177224,-15.061972,-2.617500,-9.808636,-10.315532,-19.485779,20.345330,-18.306918,3.696552,-0.370475,0.044576,-2.590514,15.747630,78.508740,48.848147,43.458734,14.822590,16.443430,9.353135,11.095557,-76.073211,-48.023775,40.826795,-22.052744,5.781316,-8.730788
8.000000,0.896400,1.476900,78.461200,0.730734,4.748226,-3.065640,-9.392841,8.470837,16.996277,20.404918,-15.274768,-2.467729,-9.951074,-10.616621,-19.517349,20.655415,-18.421338,3.873252,-0.373110,-0.116712,-2.639731,17.231935,76.515190,52.204477,40.523185,17.103019,16.871659,7.858231,12.046151,-74.889709,-50.752888,38.772742,-23.912909,6.228280,-7.259834
9.000000,0.987500,1.652400,78.435000,0.783813,4.823779,-2.970237,-9.506860,8.245608,16.949237,20.599953,-15.475877,-2.320995,-10.083828,-10.922638,-19.532876,20.956504,-18.525674,4.048233,-0.379928,-0.290490,-2.678349,18.136062,74.914633,54.542030,38.125586,18.839540,17.187130,6.569649,12.719434,-73.980253,-52.767178,37.227474,-25.207221,6.510290,-6.110423
10.000000,1.077900,1.827100,78.408200,0.850134,4.886479,-2.929290,-9.576588,8.020836,16.951071,20.766340,-15.669823,-2.179703,-10.234344,-11.226650,-19.494889,21.278793,-18.622102,4.218746,-0.385257,-0.471773,-2.708028,18.629436,73.630233,56.116690,36.254707,20.148004,17.431038,5.606048,13.118270,-73.382200,-54.122166,36.108545,-26.078976,6.719133,-5.215234
11.000000,1.166100,2.001600,78.377800,0.930615,4.926305,-2.949057,-9.608617,7.801508,17.008882,20.934159,-15.869441,-2.041678,-10.424967,-11.538109,-19.388262,21.682900,-18.732511,4.386278,-0.381533,-0.657354,-2.726477,18.847676,72.581721,57.152483,34.829531,21.126845,17.633521,4.935115,13.318633,-73.090794,-54.886778,35.339693,-26.711121,6.877957,-4.515022
12.000000,1.250900,2.174500,78.340800,1.026403,4.942879,-3.012684,-9.625175,7.586420,17.108806,21.133491,-16.084014,-1.904569,-10.676438,-11.869680,-19.217749,22.220449,-18.877699,4.551176,-0.363714,-0.847863,-2.730602,18.890991,71.715065,57.806457,33.770591,21.860517,17.807299,4.455606,13.427552,-73.059682,-55.193425,34.854570,-27.285396,6.972553,-3.979077
13.000000,1.331300,2.342600,78.296200,1.136095,4.946478,-3.102855,-9.655256,7.380728,17.235487,21.389890,-16.319901,-1.770382,-10.995404,-12.219815,-18.998708,22.892128,-19.052737,4.709083,-0.332201,-1.045132,-2.722695,18.856156,70.969933,58.232967,33.083271,22.409353,17.871356,4.130052,13.533206,-73.142131,-55.304980,34.704168,-27.852051,6.831490,-3.666300
14.000000,1.408500,2.502600,78.245400,1.255650,4.948773,-3.211929,-9.717651,7.192798,17.379070,21.714356,-16.578820,-1.644102,-11.360722,-12.572012,-18.750044,23.637890,-19.239522,4.852895,-0.294157,-1.248360,-2.710033,18.735433,70.436968,58.447310,32.637853,22.809851,17.980046,3.857381,13.473905,-73.320951,-55.285156,34.569237,-28.307553,6.750188,-3.400734
15.000000,1.485300,2.653900,78.193100,1.375435,4.950289,-3.329159,-9.799870,7.025551,17.528899,22.080304,-16.848741,-1.527964,-11.718076,-12.904900,-18.495250,24.361650,-19.409747,4.984618,-0.258862,-1.453823,-2.702069,18.575349,70.068498,58.512341,32.382257,23.100913,18.088335,3.624187,13.253316,-73.496161,-55.218979,34.423591,-28.588073,6.694038,-3.191661
16.000000,1.564900,2.798500,78.144900,1.484115,4.946850,-3.437015,-9.874412,6.872858,17.669847,22.439090,-17.106629,-1.419675,-12.008164,-13.204844,-18.263717,24.972652,-19.536829,5.113133,-0.229928,-1.655733,-2.705564,18.391601,69.823101,58.491027,32.247784,23.316059,18.167976,3.433392,12.992563,-73.663408,-55.132577,34.277143,-28.792390,6.631700,-3.052032
17.000000,1.648000,2.938500,78.103900,1.581232,4.932029,-3.522046,-9.929645,6.724863,17.790282,22.775416,-17.334093,-1.316657,-12.207381,-13.475108,-18.066276,25.443910,-19.619164,5.243309,-0.204890,-1.848362,-2.721492,18.175883,69.665022,58.434877,32.179315,23.482561,18.221891,3.319832,12.796955,-73.847556,-55.043883,34.154186,-29.031771,6.571654,-2.967062
18.000000,1.733900,3.076700,78.071100,1.659128,4.902079,-3.596227,-9.955027,6.587296,17.898800,23.079657,-17.538525,-1.215645,-12.303409,-13.703947,-17.897082,25.748723,-19.652510,5.377323,-0.184321,-2.024088,-2.748708,17.926933,69.575010,58.363945,32.143677,23.614112,18.255639,3.289752,12.657955,-74.029413,-54.976160,34.065091,-29.274419,6.520833,-2.904094
19.000000,1.821800,3.214600,78.045300,1.720253,4.858055,-3.673552,-9.944427,6.461302,18.010986,23.345337,-17.736080,-1.115090,-12.315728,-13.894685,-17.745362,25.914709,-19.649358,5.513057,-0.169194,-2.175406,-2.783830,17.678670,69.524017,58.298857,32.132676,23.717244,18.240283,3.319775,12.515690,-74.178382,-54.938803,33.992154,-29.426024,6.465428,-2.863414
20.000000,1.910900,3.353100,78.025400,1.768857,4.802967,-3.760670,-9.896299,6.343789,18.135547,23.566270,-17.920687,-1.014823,-12.269948,-14.059410,-17.611348,25.984324,-19.616184,5.648218,-0.157850,-2.300884,-2.823536,17.540129,69.421515,58.361424,32.383632,23.804105,17.850042,3.467541,12.455014,-74.204452,-54.985556,33.827600,-29.493060,6.423544,-2.876134
21.000000,1.999400,3.492800,78.009700,1.803513,4.740949,-3.853927,-9.823533,6.236932,18.267957,23.754773,-18.091372,-0.914784,-12.188703,-14.202478,-17.490683,25.993319,-19.564847,5.783035,-0.145875,-2.404876,-2.866508,17.399754,69.438073,58.366122,32.508021,23.899960,17.587341,3.517445,12.400697,-74.243298,-55.018616,33.714957,-29.502227,6.403033,-2.885702
22.000000,2.085100,3.633500,77.996500,1.820837,4.676599,-3.954303,-9.742460,6.147551,18.404149,23.930155,-18.254607,-0.815262,-12.091243,-14.322283,-17.377409,25.967249,-19.504171,5.916133,-0.130233,-2.492366,-2.910454,17.295476,69.520063,58.338448,32.515871,24.011573,17.448799,3.491433,12.387061,-74.285812,-55.020392,33.657775,-29.510077,6.395412,-2.837745
23.000000,2.166500,3.774700,77.985100,1.827098,4.617646,-4.071175,-9.659324,6.072264,18.552144,24.087375,-18.406441,-0.716312,-11.998596,-14.421462,-17.256859,25.924220,-19.439885,6.046366,-0.113847,-2.564903,-2.950962,17.158711,69.694643,58.222711,32.156626,24.130576,17.729262,3.355470,12.325640,-74.398283,-54.945679,33.719941,-29.531620,6.369285,-2.738967
24.000000,2.242800,3.916000,77.976300,1.834238,4.571152,-4.212513,-9.565129,5.997722,18.724375,24.192570,-18.530486,-0.617534,-11.927835,-14.509239,-17.115051,25.875061,-19.373938,6.174079,-0.101815,-2.624490,-2.987287,17.102847,69.756236,58.252333,31.806606,24.244022,17.913296,3.323442,12.269777,-74.420399,-54.913364,33.733692,-29.556028,6.319037,-2.682474
25.000000,2.312900,4.056800,77.970600,1.847436,4.538396,-4.371322,-9.454778,5.913841,18.918150,24.227406,-18.617060,-0.518298,-11.881082,-14.594094,-16.955368,25.822520,-19.304896,6.300588,-0.094194,-2.676229,-3.025847,16.985563,69.860457,58.261500,31.175493,24.346696,18.364730,3.190573,12.300373,-74.249257,-55.019475,33.600193,-29.538094,6.253089,-2.669926
26.000000,2.374700,4.196100,77.967000,1.863539,4.519018,-4.531280,-9.345285,5.822225,19.115190,24.217837,-18.675445,-0.418374,-11.854497,-14.678262,-16.793164,25.768834,-19.232532,6.422914,-0.088866,-2.726019,-3.068819,16.935658,69.832325,58.372138,30.602822,24.441406,18.659688,3.067788,12.260094,-74.192591,-55.053452,33.340987,-29.360821,6.407845,-2.492939
27.000000,2.424800,4.331400,77.963300,1.877051,4.516900,-4.669987,-9.276702,5.733646,19.288338,24.220702,-18.725235,-0.318393,-11.848137,-14.760481,-16.648893,25.716523,-19.156328,6.536761,-0.086001,-2.778158,-3.109270,16.938294,69.728276,58.549812,30.166858,24.491024,18.781900,2.975599,12.338130,-73.996640,-55.186034,33.189612,-29.158338,6.427097,-2.338298
28.000000,2.459700,4.461700,77.957200,1.880030,4.530060,-4.773309,-9.280541,5.661969,19.417883,24.292436,-18.787573,-0.218641,-11.859367,-14.836570,-16.537625,25.668165,-19.074624,6.638232,-0.089553,-2.833162,-3.138147,16.949696,69.643822,58.704224,29.869665,24.501509,18.857875,2.891432,12.555854,-73.787338,-55.428854,33.179642,-28.966970,6.345221,-2.123152
29.000000,2.478100,4.588400,77.947600,1.868922,4.546691,-4.844679,-9.354052,5.612924,19.504056,24.453953,-18.874777,-0.117857,-11.879134,-14.903778,-16.457353,25.623532,-18.989082,6.727957,-0.103648,-2.887306,-3.151325,16.948779,69.620044,58.786845,29.694798,24.510046,18.930411,2.812535,12.876424,-73.616368,-55.757331,33.293088,-28.829288,6.236932,-1.861368
