Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-140.281439,49.507707,73.565465,-1.232477,-4.530369,-14.587625,-19.552036,2.394796,18.183963,4.005763,-4.817370,-4.859624,17.817139,6.993885,8.759123,11.608396,-22.468210,-0.396820,7.088772,4.325362,13.407031,16.330163,5.510790,3.406029,70.251159,-28.009006,0.286182,12.713186,-25.365543,-26.872450,19.405430,41.765657,4.646672,0.020900,-7.844240
1.000000,-136.828160,49.337113,73.225343,-0.935079,-3.916001,-15.289012,-19.648704,1.571620,18.475908,5.595548,-4.870600,-3.642207,19.177440,6.303787,9.839497,13.207521,-21.629652,0.865906,7.700376,3.948862,12.807571,15.211234,5.253307,3.327147,71.255641,-28.118497,-0.502811,12.078045,-26.389674,-26.383622,20.121174,43.651100,4.478534,-0.285113,-7.769146
2.000000,-133.298671,49.151054,72.984314,-0.152517,-2.424899,-15.169782,-21.046417,1.241144,19.599508,10.106791,-2.012108,-1.792637,18.837783,5.475486,9.911616,16.053911,-19.954278,2.981261,7.556715,2.905888,10.886655,14.178405,5.427161,2.682609,71.540979,-28.501731,-0.067311,12.752734,-26.088700,-25.496150,20.688561,45.520380,4.940910,0.404658,-7.133925
3.000000,-129.842150,48.990667,73.197132,1.665889,-1.008001,-14.201114,-22.881390,-0.370675,19.202493,14.346751,-1.628605,1.526729,16.854040,3.886901,9.609986,21.327331,-15.065818,6.707839,7.021793,0.514351,9.255448,11.724337,6.463113,1.655165,72.454367,-27.819506,-0.252775,12.510799,-25.251397,-23.877991,20.568075,48.716485,4.678313,0.483786,-6.427780
4.000000,-126.355612,48.812908,73.609406,3.070586,-0.024913,-13.176255,-23.006000,-2.713801,17.936874,17.124333,-3.403398,3.665396,13.654205,3.630285,10.963213,29.204806,-5.496040,12.348565,6.401795,-1.252812,7.697728,9.326420,7.386200,0.089237,72.817815,-28.805944,-1.287687,13.046369,-23.198109,-21.944682,20.809411,52.341963,5.116860,0.556627,-5.410780
5.000000,-123.169804,48.033041,74.104136,2.773053,1.039782,-11.929902,-21.948473,-3.320490,15.457697,18.165243,-6.104024,6.012341,9.202217,6.912648,11.301187,38.268037,6.822283,15.000019,4.926646,-1.344032,6.360014,6.666820,8.384517,-1.005114,72.133320,-28.509561,-1.106841,13.719519,-21.527307,-20.021766,21.690997,56.427201,5.061665,1.348715,-3.450773
6.000000,-120.229661,47.497767,74.713600,2.464109,1.895984,-11.705225,-19.507365,-3.578510,14.262700,16.907426,-7.822997,6.153810,1.887911,5.383498,5.253668,49.236832,15.847909,15.000035,4.163177,-1.337376,5.785534,3.466368,9.027085,-1.661247,70.443470,-27.715104,-1.137321,13.886787,-20.094869,-18.337731,22.354232,59.919132,2.965983,3.139809,-1.562641
7.000000,-116.892064,48.949409,75.324029,2.455488,1.891762,-10.675480,-16.341298,-6.042685,13.541820,15.485635,-9.536046,8.041187,-5.271499,-0.785926,4.028529,58.341468,12.645936,14.159916,2.259074,-0.541134,5.638833,1.259753,9.249065,-3.418733,67.337565,-27.816444,-1.199785,15.020780,-17.593334,-18.123181,22.768504,62.161538,1.546409,3.981983,1.186797
8.000000,-113.810802,49.238205,75.956357,1.164929,1.573521,-10.006186,-12.216540,-6.077674,11.965277,13.711814,-11.127306,8.677167,-11.755769,-5.831057,-0.795592,63.700844,6.514731,5.311794,0.789587,1.061551,6.223901,-1.256885,10.130444,-4.456894,63.910927,-26.900843,-1.954208,14.273939,-14.727510,-18.035099,22.665824,63.800934,1.591769,3.804574,2.523104
9.000000,-110.836482,49.346471,76.402760,-0.375715,1.144594,-7.907373,-8.377234,-5.919745,9.344518,12.439811,-12.798729,8.368330,-16.796899,-8.329377,-4.438746,65.367642,0.921340,-0.368720,-1.627413,3.007454,7.124088,-3.891654,11.077163,-5.670736,59.505482,-27.123380,-2.058451,14.647327,-11.200844,-18.286262,21.466395,64.442862,1.172905,3.614534,1.442296
10.000000,-107.851803,49.070910,76.721954,-1.225244,0.637567,-5.356624,-4.528775,-5.983518,6.868853,11.035870,-13.839906,7.682743,-20.519032,-8.000727,-6.098298,62.791930,-3.679151,-1.815365,-3.877362,4.226002,7.470983,-5.979196,12.076787,-7.306047,54.513420,-27.018072,-2.529030,13.977410,-6.713673,-18.536222,20.014032,64.877522,3.484626,3.971816,1.992883
11.000000,-104.772401,48.629627,76.833522,-1.877858,-0.513554,-2.329211,0.136918,-5.904948,3.925428,9.569548,-15.307555,6.668873,-22.455676,-5.248241,-5.547538,56.219523,-6.511018,-0.716351,-6.497163,5.016007,8.553244,-7.591659,13.042496,-8.689902,49.207610,-26.590454,-3.651893,14.006666,-2.410615,-18.654573,18.618450,64.924780,2.552040,3.990245,3.199720
12.000000,-101.622832,48.141703,76.711464,-2.042178,-1.913715,0.956088,4.405403,-5.973091,0.448847,9.326103,-17.464258,6.016816,-23.094007,-3.009457,-4.562864,46.989058,-8.138229,1.065960,-9.629085,5.118070,9.711538,-8.446004,14.935566,-9.566805,43.942486,-27.075304,-5.355723,13.073997,1.928560,-18.989645,18.176419,64.705654,3.355898,2.633761,3.856755
