Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-0.018000,-0.003300,78.602200,0.246455,-1.350551,-0.860383,2.723440,3.296742,7.755843,9.086251,-14.127248,-1.976189,-0.700670,-2.042766,-0.501338,13.994609,-14.938270,1.938202,-0.512339,-0.170684,-1.483674,0.646526,102.740443,-1.688507,81.352215,3.316280,11.415095,3.541796,-2.268340,-98.680636,-0.915701,77.546744,-2.320536,11.486085,-11.899474
1.000000,0.029500,-0.016200,78.588300,0.347439,-1.551795,-1.019053,3.664810,3.289408,8.277407,8.137032,-13.991859,-2.202106,-0.162262,-2.182625,-0.389268,13.664757,-15.181434,2.071815,-0.387778,-0.276452,-1.350003,-0.185925,102.260820,-1.164709,76.148841,4.877532,16.894520,2.761313,-3.209939,-97.820855,-1.892480,71.228509,-4.381064,18.159152,-12.186067
2.000000,-0.001200,-0.032400,78.587700,0.429380,-1.710135,-1.171638,3.975640,3.256406,8.477999,7.965488,-13.911702,-2.242270,0.035581,-2.239463,-0.238121,13.618233,-15.200227,2.089749,-0.278859,-0.359703,-1.182929,-0.875480,102.199284,-0.422270,73.083460,6.491096,20.074092,2.043626,-3.870559,-97.037507,-3.330833,67.310853,-6.745031,22.208704,-11.833011
3.000000,-0.038600,-0.047200,78.588200,0.489130,-1.827799,-1.281441,4.109941,3.228846,8.598721,7.961764,-13.888612,-2.252125,0.136593,-2.268455,-0.119347,13.626197,-15.201602,2.085051,-0.193373,-0.421525,-1.042382,-1.385698,102.124398,0.385772,71.344705,8.043124,21.826598,1.381860,-4.277875,-96.298048,-5.112789,64.941672,-9.210010,24.604527,-11.314599
4.000000,-0.070900,-0.061600,78.588300,0.532487,-1.914624,-1.359220,4.185686,3.209595,8.683290,7.983136,-13.881621,-2.258428,0.197613,-2.285128,-0.033289,13.643271,-15.203149,2.077316,-0.127426,-0.466903,-0.930025,-1.757433,102.015021,1.208712,70.328679,9.493968,22.810481,0.810678,-4.440480,-95.599784,-7.097916,63.447627,-11.666739,25.995267,-10.755392
5.000000,-0.098500,-0.076100,78.588500,0.563398,-1.979668,-1.409977,4.235419,3.197677,8.744195,7.997402,-13.871537,-2.264100,0.236803,-2.294524,0.024637,13.660288,-15.204753,2.067575,-0.076604,-0.500078,-0.840987,-2.020765,101.657438,2.028557,69.576442,10.814177,23.541518,0.637186,-4.354021,-95.130589,-9.196775,62.450566,-13.978108,26.721663,-10.013182
6.000000,-0.123600,-0.091300,78.588700,0.585395,-2.030648,-1.440181,4.265041,3.192693,8.780979,8.011955,-13.860136,-2.270288,0.263331,-2.297503,0.060848,13.675013,-15.206128,2.053996,-0.036669,-0.524314,-0.770571,-2.243588,101.450199,2.897161,69.089428,12.088665,23.974846,0.371907,-4.095101,-94.544854,-11.371207,61.745885,-16.192704,27.073001,-9.399659
7.000000,-0.146900,-0.106500,78.588900,0.600925,-2.070009,-1.454382,4.276729,3.192865,8.799543,8.032009,-13.850223,-2.276705,0.279603,-2.296300,0.080271,13.688936,-15.207102,2.036464,-0.003782,-0.541617,-0.714421,-2.417939,101.286333,3.782897,68.771608,13.322472,24.220473,0.109263,-3.718783,-93.945827,-13.603221,61.183126,-18.306231,27.232111,-8.828363
8.000000,-0.169200,-0.121800,78.589200,0.615998,-2.098218,-1.463135,4.275640,3.193438,8.810544,8.053036,-13.839394,-2.283294,0.283270,-2.294868,0.093335,13.705093,-15.207847,2.016410,0.022746,-0.553076,-0.668470,-2.533791,101.144297,4.659293,68.571360,14.527517,24.351738,-0.125420,-3.275714,-93.363072,-15.872535,60.654458,-20.325964,27.302241,-8.310294
9.000000,-0.190400,-0.136500,78.589700,0.631584,-2.115308,-1.470210,4.265613,3.192635,8.818623,8.071486,-13.826847,-2.290227,0.275650,-2.294581,0.104679,13.722855,-15.208764,1.995898,0.044691,-0.560181,-0.629853,-2.618245,101.022028,5.546747,68.468858,15.665812,24.398033,-0.380902,-2.776152,-92.790114,-18.112857,60.115190,-22.290064,27.333868,-7.825228
